time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0000151766;5.0422;-15.7371;1.7262;0.1027;-0.1725;0.0360
0000151775;5.1164;-15.5408;1.7597;0.0874;-0.1761;0.0397
0000151782;5.1547;-15.4594;1.8052;0.0925;-0.1869;0.0340
0000151790;5.1260;-15.5647;1.7861;0.0774;-0.1872;0.0469
0000151799;5.3151;-15.5719;1.8699;0.0693;-0.1903;0.0464
0000151807;4.9991;-15.6605;1.9273;0.0657;-0.2066;0.0472
0000151819;5.1116;-15.6030;1.9656;0.0497;-0.2157;0.0516
0000151827;5.2313;-15.5096;1.8100;0.0266;-0.2126;0.0596
0000151835;5.3678;-15.5910;1.8794;0.0133;-0.2205;0.0621
0000151902;5.4612;-15.7347;2.1117;-0.0432;-0.2284;0.0655
0000151910;5.4133;-15.6677;2.1668;-0.0465;-0.2281;0.0568
0000151922;5.2960;-15.6796;2.1548;-0.0621;-0.2282;0.0600
0000151930;5.3558;-15.6748;2.2242;-0.0610;-0.2377;0.0506
0000151941;5.2505;-15.7538;2.1931;-0.0723;-0.2298;0.0589
0000151949;5.3103;-15.6796;2.1668;-0.0727;-0.2324;0.0558
0000151961;5.2361;-15.7898;2.2027;-0.0802;-0.2281;0.0474
0000151969;5.2744;-16.0076;2.2673;-0.0781;-0.2344;0.0330
0000151977;5.3367;-16.1130;2.3918;-0.0729;-0.2325;0.0306
0000151988;5.4636;-16.1154;2.3080;-0.0529;-0.2362;0.0111
0000151996;5.5138;-16.1489;2.3104;-0.0380;-0.2302;0.0109
0000152008;5.6024;-16.1680;2.3607;-0.0167;-0.2197;0.0124
0000152016;5.7126;-15.8736;2.2673;-0.0003;-0.2184;0.0152
0000152027;5.7197;-15.6174;2.2841;0.0005;-0.1964;0.0262
0000152035;5.8131;-15.6988;2.2386;-0.0007;-0.1773;0.0258
0000152047;5.9256;-15.4953;2.2122;-0.0096;-0.1576;0.0286
0000152055;5.8131;-15.5527;2.2625;-0.0100;-0.1519;0.0290
0000152066;5.8012;-15.5623;2.1476;-0.0093;-0.1262;0.0278
0000152074;5.8107;-15.6940;2.3176;-0.0148;-0.1098;0.0310
0000152082;5.6383;-15.7802;2.2338;-0.0180;-0.0930;0.0348
0000152094;5.7892;-15.5958;2.2338;-0.0199;-0.0730;0.0276
0000152102;5.8706;-15.5168;2.2122;-0.0133;-0.0705;0.0221
0000152169;5.6120;-15.3157;2.1476;-0.0909;0.0024;-0.0169
0000152177;5.6216;-15.2798;2.1811;-0.1063;0.0064;-0.0236
0000152189;5.5689;-15.5575;2.2194;-0.1302;0.0143;-0.0189
0000152197;5.5737;-15.6437;2.0183;-0.1458;0.0209;-0.0167
0000152208;5.4157;-15.7922;2.0806;-0.1492;0.0266;-0.0177
0000152216;5.3917;-15.8712;1.9369;-0.1446;0.0354;-0.0156
0000152228;5.5569;-15.8376;2.0231;-0.1327;0.0457;-0.0173
0000152236;5.4061;-16.0483;2.0016;-0.1270;0.0528;-0.0155
0000152244;5.4612;-16.0819;1.9393;-0.1202;0.0512;-0.0183
0000152255;5.4995;-16.2087;1.9752;-0.1054;0.0545;-0.0258
0000152263;5.3103;-16.3117;1.9992;-0.1014;0.0514;-0.0356
0000152275;5.4253;-16.0196;1.9920;-0.0910;0.0570;-0.0358
0000152283;5.3798;-16.0052;1.8818;-0.0762;0.0530;-0.0417
0000152294;5.2457;-16.1010;1.6927;-0.0842;0.0560;-0.0477
0000152302;5.3079;-15.9262;1.5203;-0.0851;0.0574;-0.0400
0000152314;5.0733;-16.0005;1.3671;-0.0863;0.0671;-0.0300
0000152322;4.9967;-16.1417;1.4581;-0.0662;0.0742;-0.0229
0000152333;5.0877;-16.1034;1.4605;-0.0501;0.1022;-0.0220
0000152341;5.0111;-16.5344;1.4940;-0.0281;0.1057;-0.0254
0000152349;5.0973;-16.5966;1.5227;-0.0016;0.1110;-0.0250
0000152361;5.2768;-16.3763;1.6257;0.0462;0.1254;-0.0270
0000152369;5.1284;-16.2878;1.6688;0.0906;0.1130;-0.0222
0000152433;5.5522;-15.4330;1.1181;0.0782;0.1833;-0.0568
0000152441;5.3870;-15.5408;1.1564;0.0633;0.1901;-0.0569
0000152453;5.2002;-15.7993;1.3192;0.0264;0.1920;-0.0501
0000152461;5.0182;-15.8233;1.3024;0.0072;0.1908;-0.0453
0000152472;4.9847;-15.9885;1.3408;0.0276;0.1927;-0.0302
0000152480;4.8076;-16.1728;1.1325;0.0396;0.1859;-0.0353
0000152488;4.9177;-16.2183;1.3815;0.0558;0.1749;-0.0325
0000152500;4.8076;-16.3045;1.5155;0.0857;0.1567;-0.0265
