time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0000587213;5.6790;-16.0483;1.0175;-0.1216;-0.1262;-0.0369
0000587222;5.7700;-16.0866;1.0774;-0.1255;-0.1144;-0.0386
0000587229;5.7604;-16.1680;0.9816;-0.1320;-0.1058;-0.0362
0000587237;5.9544;-16.1537;0.9433;-0.1267;-0.1035;-0.0394
0000587246;5.9400;-16.2111;0.8595;-0.1247;-0.0902;-0.0410
0000587254;5.9903;-16.2231;0.9673;-0.1202;-0.0806;-0.0425
0000587266;6.0669;-16.2423;0.9290;-0.1150;-0.0624;-0.0377
0000587274;5.9664;-16.4051;0.9529;-0.1075;-0.0557;-0.0416
0000587341;5.6599;-16.3596;0.7278;-0.0236;-0.0310;-0.0274
0000587349;5.5569;-16.4266;0.8356;-0.0163;-0.0370;-0.0276
0000587357;5.5952;-16.4075;0.8188;-0.0071;-0.0526;-0.0305
0000587369;5.5091;-16.4194;0.7733;0.0009;-0.0644;-0.0268
0000587377;5.6934;-16.3739;0.7901;0.0037;-0.0657;-0.0205
0000587388;5.6862;-16.2255;0.7949;0.0169;-0.0841;-0.0246
0000587396;5.6551;-16.2901;0.8140;0.0123;-0.0811;-0.0185
0000587408;5.7102;-16.1202;0.8882;0.0147;-0.0882;-0.0119
0000587416;5.7533;-16.0699;0.8787;0.0107;-0.0958;-0.0168
0000587427;5.8083;-16.0723;0.8499;0.0012;-0.0990;-0.0161
0000587435;5.6264;-15.9957;0.8475;-0.0056;-0.1042;-0.0165
0000587447;5.6336;-16.1273;0.8835;-0.0125;-0.1104;-0.0120
0000587455;5.7054;-16.1178;0.8045;-0.0232;-0.1130;-0.0080
0000587463;5.7437;-15.9789;0.9194;-0.0286;-0.1212;-0.0084
0000587474;5.9017;-15.9190;0.7973;-0.0364;-0.1155;-0.0037
0000587482;5.7676;-16.1896;0.8284;-0.0333;-0.1226;-0.0076
0000587494;5.8107;-16.1345;0.9146;-0.0352;-0.1095;-0.0035
0000587502;5.8347;-16.2279;0.8499;-0.0348;-0.1075;-0.0065
0000587513;5.8251;-16.1656;0.8092;-0.0321;-0.0935;-0.0076
0000587521;6.0094;-16.1704;0.9553;-0.0361;-0.0826;-0.0113
0000587533;5.8586;-16.2399;0.8164;-0.0288;-0.0727;-0.0172
0000587541;5.9903;-16.3237;0.8643;-0.0272;-0.0629;-0.0151
0000587609;5.7964;-16.2447;0.6369;-0.0208;-0.0068;-0.0211
0000587617;5.8107;-16.1393;0.7302;-0.0253;0.0043;-0.0155
0000587629;5.7628;-16.1944;0.8068;-0.0201;0.0043;-0.0171
0000587637;5.8299;-16.1609;0.7805;-0.0188;0.0084;-0.0132
0000587645;5.8730;-16.0651;0.6728;-0.0161;0.0071;-0.0159
0000587656;5.8227;-16.2183;0.7302;-0.0084;0.0095;-0.0133
0000587664;5.8969;-16.1680;0.8116;-0.0056;0.0081;-0.0149
0000587676;5.6934;-16.1728;0.7949;-0.0095;0.0169;-0.0088
0000587684;5.7868;-16.2638;0.7709;-0.0088;0.0181;-0.0096
0000587695;5.7557;-16.1944;0.7853;-0.0091;0.0168;-0.0085
0000587703;5.8490;-16.0076;0.8499;-0.0163;0.0211;-0.0115
0000587716;5.7940;-16.1178;0.8045;-0.0075;0.0211;-0.0143
0000587723;5.7317;-16.1609;0.8523;-0.0121;0.0248;-0.0113
0000587734;5.6503;-16.3141;0.8715;-0.0120;0.0258;-0.0156
0000587742;5.7724;-16.0627;0.7518;-0.0067;0.0191;-0.0236
0000587750;5.5498;-16.2662;0.8595;-0.0024;0.0179;-0.0160
0000587762;5.6719;-16.2040;0.7111;0.0005;0.0148;-0.0183
0000587770;5.6743;-16.2159;0.8188;0.0009;0.0185;-0.0128
0000587782;5.7509;-16.2662;0.8045;0.0007;0.0183;-0.0129
0000587789;5.7796;-16.2973;0.7709;0.0067;0.0093;-0.0167
0000587801;5.7820;-16.1704;0.8475;0.0049;0.0173;-0.0116
0000587809;5.5809;-16.1130;0.7781;0.0104;0.0107;-0.0156
0000587877;5.5641;-16.2016;0.8116;-0.0081;-0.0117;-0.0152
0000587885;5.7341;-16.2494;0.8380;-0.0109;-0.0109;-0.0155
0000587893;5.6479;-16.2518;0.8140;-0.0020;-0.0161;-0.0181
0000587905;5.7389;-16.1609;0.9290;-0.0044;-0.0189;-0.0108
0000587913;5.8251;-16.0986;0.7805;-0.0092;-0.0164;-0.0159
0000587924;5.7868;-16.0914;0.8571;-0.0039;-0.0204;-0.0101
0000587932;5.5067;-16.3787;0.8188;0.0007;-0.0224;-0.0173
0000587944;5.7964;-16.0938;0.8308;0.0023;-0.0250;-0.0205
0000587952;5.7700;-16.2375;0.8619;0.0077;-0.0248;-0.0111
0000587963;5.8059;-16.1345;0.8308;0.0053;-0.0234;-0.0145
0000587971;5.7533;-16.2351;0.8116;0.0112;-0.0215;-0.0115
0000587983;5.6910;-16.2734;0.8667;0.0104;-0.0220;-0.0107
0000587991;5.5522;-16.2710;0.8595;0.0089;-0.0277;-0.0180
0000587999;5.6431;-16.0890;0.8954;0.0073;-0.0253;-0.0112
0000588010;5.8490;-16.1321;0.8739;0.0124;-0.0273;-0.0191
0000588018;5.6886;-16.2064;0.9481;0.0088;-0.0238;-0.0211
0000588030;5.7126;-16.1824;0.9385;0.0124;-0.0252;-0.0218
0000588038;5.7461;-16.2183;0.9002;0.0057;-0.0218;-0.0181
0000588049;5.6719;-16.1465;0.8859;0.0093;-0.0213;-0.0172
0000588057;5.7054;-16.1321;0.8068;0.0031;-0.0193;-0.0195
0000588069;5.6192;-16.1633;0.9098;-0.0055;-0.0215;-0.0149
0000588077;5.6264;-16.1226;0.9409;-0.0040;-0.0250;-0.0207
0000588144;5.6599;-16.3668;0.8356;0.0005;-0.0386;-0.0136
0000588152;5.7940;-16.2734;0.7877;0.0032;-0.0450;-0.0129
0000588160;5.7820;-16.2949;0.8763;0.0039;-0.0346;-0.0119
0000588172;5.8227;-16.1249;0.8475;0.0145;-0.0421;-0.0169
0000588180;5.8179;-16.3356;0.9385;0.0123;-0.0341;-0.0191
0000588191;5.7581;-16.0986;0.9146;0.0075;-0.0301;-0.0165
0000588199;5.7940;-16.1489;0.8547;0.0059;-0.0245;-0.0133
0000588211;5.7772;-16.1656;0.9242;0.0109;-0.0218;-0.0161
0000588219;5.7461;-16.1345;0.9792;0.0076;-0.0242;-0.0164
0000588230;5.7533;-16.1202;0.9697;0.0007;-0.0185;-0.0201
0000588238;5.7269;-16.2542;0.9720;0.0041;-0.0229;-0.0216
0000588250;5.7557;-16.1345;0.9002;-0.0008;-0.0221;-0.0197
0000588258;5.5881;-16.2447;0.9792;-0.0047;-0.0157;-0.0125
0000588266;5.6120;-16.3069;0.9170;-0.0037;-0.0159;-0.0147
0000588277;5.6575;-16.1441;0.9337;0.0005;-0.0157;-0.0224
0000588285;5.7772;-16.0675;0.8906;-0.0044;-0.0177;-0.0179
0000588297;5.7102;-16.1130;0.9577;-0.0011;-0.0205;-0.0196
0000588305;5.7293;-16.1345;0.8715;-0.0067;-0.0147;-0.0137
0000588316;5.7006;-16.2111;0.9122;-0.0019;-0.0153;-0.0188
0000588324;5.8203;-16.1034;0.9457;-0.0056;-0.0111;-0.0112
0000588337;6.0454;-15.9023;0.8978;-0.0067;-0.0089;-0.0132
0000588344;5.6431;-16.1202;1.0678;-0.0081;-0.0089;-0.0171
0000588412;5.7485;-16.1920;0.9266;-0.0060;-0.0136;-0.0192
0000588420;5.6623;-16.2399;0.9170;-0.0089;-0.0097;-0.0159
0000588433;5.8083;-16.2542;1.0582;-0.0072;-0.0151;-0.0149
0000588440;5.7461;-16.1872;0.9337;-0.0108;-0.0100;-0.0101
0000588448;5.7365;-16.0938;0.8428;-0.0129;-0.0111;-0.0140
0000588459;5.8634;-16.0627;0.9002;-0.0144;-0.0123;-0.0161
0000588467;5.8179;-16.0986;0.9433;-0.0093;-0.0171;-0.0181
0000588479;5.8634;-15.9550;0.9768;-0.0120;-0.0139;-0.0181
0000588487;5.5809;-16.2303;0.9529;-0.0208;-0.0115;-0.0132
0000588498;5.8395;-16.0579;0.9385;-0.0212;-0.0120;-0.0157
0000588506;5.7676;-16.1058;0.9290;-0.0165;-0.0196;-0.0199
0000588518;5.5976;-16.1393;0.9697;-0.0238;-0.0171;-0.0173
0000588526;5.5952;-16.1537;0.8906;-0.0203;-0.0211;-0.0159
0000588537;5.5019;-16.2303;0.9242;-0.0232;-0.0197;-0.0156
0000588545;5.6000;-16.1537;0.9361;-0.0211;-0.0242;-0.0200
0000588557;5.6120;-16.2351;0.9170;-0.0217;-0.0268;-0.0183
0000588565;5.7413;-16.0866;0.9002;-0.0249;-0.0273;-0.0119
0000588573;5.6599;-16.1704;0.9026;-0.0229;-0.0312;-0.0165
0000588585;5.5881;-16.1393;0.8811;-0.0246;-0.0317;-0.0152
0000588593;5.6982;-16.2925;0.9409;-0.0168;-0.0386;-0.0207
0000588661;5.6719;-16.1968;0.9625;-0.0254;-0.0541;-0.0155
0000588669;5.6790;-16.1872;0.9385;-0.0302;-0.0513;-0.0105
0000588681;5.7197;-16.0531;0.9720;-0.0328;-0.0504;-0.0103
0000588689;5.7245;-16.1776;0.8643;-0.0302;-0.0537;-0.0115
