time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0000622372;3.9720;2.7557;1.1325;-0.2607;0.0815;0.1318
0000622381;4.1108;2.9185;1.1325;-0.2723;0.0827;0.1290
0000622388;4.0582;2.8563;1.2115;-0.2936;0.0689;0.1228
0000622396;3.8547;2.6432;1.2186;-0.3031;0.0592;0.1098
0000622407;3.7757;2.5450;1.2737;-0.3204;0.0377;0.0939
0000622415;3.9097;2.6815;1.3527;-0.3250;0.0229;0.0849
0000622423;3.7350;2.6480;1.0630;-0.3283;-0.0059;0.0805
0000622491;3.2609;4.5370;2.0207;-0.6087;-0.3020;-0.1054
0000622499;3.2489;4.5274;1.7597;-0.6769;-0.3625;-0.0949
0000622510;3.7302;3.7781;1.3072;-0.7791;-0.4318;-0.0616
0000622518;4.0630;3.2346;1.0104;-0.8222;-0.4794;-0.0614
0000622530;4.7860;2.4301;0.7063;-0.8358;-0.5147;-0.0436
0000622538;4.9321;2.2505;0.8954;-0.8304;-0.5139;-0.0296
0000622549;5.0542;2.8491;1.6759;-0.8132;-0.4668;0.0294
0000622557;4.7549;3.4189;2.1931;-0.8136;-0.4190;0.0731
0000622565;4.6040;4.0031;2.4277;-0.8651;-0.3448;0.1045
0000622577;3.9911;4.8435;2.8299;-0.9474;-0.2762;0.1504
0000622585;3.5817;5.8538;3.4572;-0.9701;-0.2526;0.2224
0000622596;3.3184;7.3981;4.0965;-1.0539;-0.2150;0.3509
0000622604;3.5267;8.6383;4.1994;-1.2164;-0.1399;0.4037
0000622616;2.9616;9.5912;4.4963;-1.5099;0.0056;0.3718
0000622624;2.5402;10.3789;4.7118;-1.6971;0.0211;0.3877
0000622632;2.4373;9.5265;4.8483;-1.8195;-0.0763;0.4858
0000622643;2.7078;9.8497;5.9687;-1.7998;-0.2316;0.5462
0000622651;3.1340;10.3789;6.5434;-1.7537;-0.3521;0.4814
0000622663;2.3439;11.6023;6.7540;-1.7027;-0.5617;0.3171
0000622671;2.5043;11.0684;6.3207;-1.7724;-0.6984;0.1903
0000622682;1.3479;9.8881;5.7916;-1.9084;-0.8813;0.0402
0000622690;1.3647;7.9080;4.8866;-2.0419;-1.0103;-0.1118
0000622758;9.3781;2.5331;2.5738;-1.5339;-1.0160;-0.3978
0000622766;9.7779;1.8268;2.0758;-1.5274;-0.8817;-0.2943
0000622774;9.9264;0.9050;1.8627;-1.5315;-0.7282;-0.2154
0000622785;9.6486;-0.0431;2.2170;-1.5187;-0.5325;-0.1202
0000622793;8.8921;-1.0032;2.5498;-1.4789;-0.4069;-0.0213
0000622805;7.8027;-1.2354;3.0335;-1.2590;-0.2497;0.0735
0000622813;6.6774;-0.6560;3.3160;-1.0190;-0.1927;0.1246
0000622824;5.9233;0.4812;3.6440;-0.7510;-0.1359;0.2001
0000622832;5.8419;1.3312;3.9456;-0.6362;-0.1108;0.2288
0000622844;5.5091;2.0375;3.9840;-0.6069;-0.0801;0.2196
0000622852;5.6719;2.1261;4.0821;-0.6371;-0.0614;0.1755
0000622860;6.0358;1.8459;3.8906;-0.6496;-0.0358;0.1199
0000622871;6.4763;1.0558;3.9241;-0.6699;-0.0232;0.0561
0000622879;6.6846;0.6129;3.8786;-0.6508;-0.0183;0.0269
0000622891;6.8761;-0.0622;3.8475;-0.5798;0.0021;0.0064
0000622899;7.0174;-0.1149;4.0510;-0.5211;0.0145;0.0000
0000622910;6.6726;0.0431;4.7429;-0.4387;0.0546;-0.0047
0000622918;5.9017;0.1508;5.2888;-0.3757;0.0822;-0.0056
0000622930;5.4660;0.8619;5.4827;-0.2899;0.1140;0.0024
0000622938;5.0206;1.1660;5.6336;-0.2397;0.1092;0.0272
0000622946;5.0087;1.4198;5.5330;-0.2301;0.1018;0.0743
0000622957;5.0350;1.6281;5.5593;-0.2425;0.0677;0.1462
0000622965;5.2050;1.5945;5.4013;-0.2491;0.0382;0.1873
0000623033;5.8538;0.6584;5.5737;-0.2154;0.0500;0.1684
0000623041;5.8658;0.5076;5.4109;-0.1775;0.0500;0.1921
0000623052;5.6910;0.2394;5.2648;-0.1299;0.0678;0.2304
0000623060;5.9879;0.1341;5.1260;-0.0917;0.0616;0.2638
0000623068;5.9256;0.0838;5.1882;-0.0564;0.0581;0.2891
0000623080;5.6551;-0.0192;5.0613;-0.0159;0.0496;0.3228
0000623088;5.5761;-0.0168;5.1212;0.0041;0.0394;0.3345
0000623099;5.7102;0.5243;5.0853;0.0273;0.0333;0.3677
0000623107;5.6000;0.7446;5.0566;0.0414;0.0249;0.3765
0000623119;5.6790;1.0032;4.8698;0.0361;0.0171;0.3841
0000623127;5.7461;0.9840;4.6639;0.0370;0.0100;0.3876
0000623135;6.1028;0.8188;4.5059;0.0332;0.0123;0.3940
0000623146;6.4524;0.3543;4.4077;0.0401;0.0224;0.4000
0000623154;6.5888;-0.0694;4.3048;0.0580;0.0328;0.3980
0000623166;6.8283;-0.5291;4.2904;0.0977;0.0698;0.4118
0000623174;6.9671;-0.6632;4.3718;0.1274;0.0921;0.4074
0000623182;6.7445;-0.9146;4.2928;0.1595;0.1196;0.4155
0000623193;6.5290;-0.9888;4.3000;0.2148;0.1451;0.4491
0000623201;6.4500;-1.0151;4.1827;0.2586;0.1613;0.4776
0000623213;6.4572;-0.9601;4.0534;0.3166;0.1887;0.5040
0000623221;6.2656;-1.1229;3.8044;0.3431;0.2014;0.5161
0000623233;6.2106;-0.9912;3.7685;0.3704;0.2316;0.5351
0000623241;6.2177;-0.8715;3.7469;0.3821;0.2486;0.5268
0000623309;5.6120;-0.2227;3.6679;0.4758;0.1800;0.3734
0000623317;5.6479;-0.3424;3.6583;0.4690;0.1500;0.3353
0000623325;5.9185;-0.4070;3.7445;0.4568;0.1351;0.3000
0000623336;5.6120;-0.5387;3.7637;0.4676;0.1086;0.2611
0000623344;5.8083;-0.5555;3.8427;0.4939;0.0878;0.2392
0000623356;5.8107;-0.6321;3.6799;0.5073;0.0557;0.2088
0000623364;5.8682;-0.5794;3.6775;0.5044;0.0468;0.1949
0000623375;5.9640;-0.2849;3.7541;0.5083;0.0329;0.1927
0000623383;6.0741;-0.1077;3.7230;0.4996;0.0205;0.1925
0000623391;6.1507;-0.0431;3.8068;0.4924;0.0080;0.1943
0000623403;6.3327;-0.0455;3.8930;0.4850;-0.0153;0.1920
0000623411;6.4979;0.2251;3.8523;0.4843;-0.0272;0.1993
0000623422;6.4428;0.0886;4.0247;0.4835;-0.0181;0.1936
0000623430;6.5481;0.1796;3.9385;0.4898;-0.0085;0.1836
0000623442;6.4643;0.2514;4.0318;0.4832;0.0127;0.1643
0000623450;6.6080;0.4573;3.9217;0.4743;0.0184;0.1748
0000623458;6.8642;0.7494;3.9768;0.4333;0.0274;0.1863
0000623469;6.9911;0.9170;4.1156;0.4108;0.0325;0.2006
0000623477;6.7732;0.7709;4.1420;0.3756;0.0444;0.2057
0000623489;6.6750;0.6991;4.0845;0.3535;0.0544;0.1993
0000623497;6.3710;0.5890;4.1037;0.3465;0.0674;0.2040
0000623505;6.4117;0.6033;4.1683;0.3581;0.0777;0.2057
0000623517;6.2513;0.2466;4.0462;0.3840;0.0810;0.1973
0000623525;6.0310;0.3879;4.0007;0.3724;0.0709;0.1881
0000623593;5.4205;1.8651;4.5059;0.3405;-0.1454;0.0789
0000623601;5.5186;1.7813;4.4532;0.3323;-0.1787;0.0500
0000623612;5.6719;1.8699;4.2904;0.3276;-0.2326;-0.0048
0000623620;5.5258;1.7621;4.2521;0.3198;-0.2730;-0.0337
0000623628;5.3750;1.3096;4.2617;0.3155;-0.3163;-0.0737
0000623640;5.4085;1.3719;4.2090;0.2891;-0.3832;-0.1398
0000623648;5.2337;1.3503;4.1300;0.2769;-0.4291;-0.1839
0000623659;5.3367;1.7071;4.0917;0.2397;-0.4847;-0.2278
0000623667;5.2792;1.4174;4.1970;0.2157;-0.5296;-0.2719
0000623679;5.2170;1.5155;4.1396;0.2064;-0.5866;-0.3115
0000623687;5.3367;1.4629;4.1013;0.1903;-0.6347;-0.3488
0000623698;5.3893;1.5203;4.0893;0.1844;-0.6839;-0.3828
0000623706;5.5306;1.4892;4.1396;0.1699;-0.7101;-0.3992
0000623714;5.5857;1.6783;3.9959;0.1514;-0.7450;-0.4090
0000623726;5.8993;2.0542;4.0797;0.1251;-0.8042;-0.4253
0000623734;6.0071;2.1069;4.2234;0.1066;-0.8347;-0.4241
0000623745;6.2177;2.2170;4.2473;0.0751;-0.8653;-0.4159
0000623753;6.2704;2.3128;4.3359;0.0604;-0.8813;-0.4065
0000623765;6.5649;2.3128;4.3287;0.0466;-0.8809;-0.3780
0000623773;6.8450;2.7677;4.2066;0.0570;-0.8772;-0.3729
0000623781;6.9719;2.7629;4.1970;0.0653;-0.8601;-0.3627
0000623793;7.1658;2.6791;4.1132;0.0686;-0.8183;-0.3210
0000623801;7.0964;2.5594;4.1515;0.0921;-0.8054;-0.2899
0000623869;7.6734;2.0877;3.3878;0.1402;-0.5023;-0.0721
0000623877;7.7381;1.8411;3.3471;0.1250;-0.4590;-0.0328
0000623889;7.7931;1.8387;3.4716;0.1171;-0.4126;0.0290
0000623897;7.8290;1.7334;3.4046;0.1150;-0.3797;0.0646
0000623908;7.9392;1.5012;3.3734;0.1271;-0.3425;0.1051
0000623916;7.8003;1.3192;3.5841;0.1358;-0.3032;0.1143
0000623924;7.9128;1.4102;3.4500;0.1492;-0.2765;0.1112
0000623936;8.1427;1.5131;3.4429;0.1616;-0.1997;0.1045
0000623944;8.0876;1.7597;3.3208;0.1588;-0.1348;0.1057
0000623955;7.9583;1.9609;3.5003;0.1604;-0.0521;0.1029
0000623963;7.8865;2.1093;3.7302;0.1693;0.0137;0.1026
0000623975;7.7524;2.4948;3.8906;0.1793;0.1059;0.1266
0000623983;7.7333;2.6025;3.8571;0.1824;0.1559;0.1498
0000623991;7.5561;2.7988;3.8211;0.1887;0.2040;0.1843
0000624002;7.5417;2.8850;3.8164;0.2204;0.2386;0.2268
0000624010;7.4053;2.7557;3.6679;0.2421;0.2609;0.2606
0000624022;7.1347;2.6887;3.5338;0.2605;0.2836;0.2976
0000624030;7.1204;2.6264;3.4860;0.2666;0.2903;0.3131
0000624038;7.2520;2.6121;3.3399;0.2617;0.3032;0.3210
0000624049;7.2568;2.5977;3.2394;0.2597;0.3022;0.3072
0000624057;7.1778;2.3846;3.2609;0.2511;0.3082;0.2886
0000624069;7.1635;2.4397;3.1029;0.2357;0.2962;0.2467
0000624077;7.0677;2.4612;3.1915;0.2154;0.2859;0.2126
0000624145;6.2944;2.1165;3.1316;0.1184;-0.0017;0.0087
0000624153;6.3087;2.0734;3.0933;0.1378;-0.0406;-0.0192
0000624161;6.5170;2.2936;3.1029;0.1423;-0.0659;-0.0384
0000624173;6.7516;2.1093;3.0263;0.1631;-0.0969;-0.0687
0000624181;6.9121;2.2362;3.0526;0.1739;-0.1053;-0.0834
0000624192;6.9839;2.2889;2.9736;0.1720;-0.1118;-0.1051
0000624200;7.0509;2.3272;2.9832;0.1799;-0.1152;-0.1142
0000624212;7.1539;2.4565;2.9185;0.1680;-0.1159;-0.1158
0000624220;7.0126;2.2865;2.9712;0.1644;-0.1175;-0.1096
0000624231;6.9001;2.3415;3.0981;0.1607;-0.1320;-0.1085
0000624239;6.7756;2.2218;3.1867;0.1661;-0.1368;-0.1066
0000624247;6.8354;2.3798;3.0837;0.1651;-0.1623;-0.1083
0000624259;6.7157;2.4421;3.1173;0.1672;-0.1852;-0.1051
0000624267;6.8546;2.5139;3.1819;0.1591;-0.2005;-0.1015
0000624278;6.6726;2.4229;3.2154;0.1528;-0.2242;-0.1164
0000624286;6.6583;2.3703;3.1340;0.1480;-0.2369;-0.1268
0000624298;6.8067;2.6025;3.0550;0.1246;-0.2419;-0.1459
0000624306;6.9288;2.4660;2.9904;0.1176;-0.2515;-0.1589
0000624314;6.9983;2.4804;2.9760;0.1115;-0.2571;-0.1669
0000624325;7.0366;2.5402;2.8706;0.0989;-0.2566;-0.1713
0000624333;7.1970;2.6360;3.0167;0.0851;-0.2550;-0.1732
0000624345;7.1036;2.5618;2.9736;0.0661;-0.2478;-0.1697
0000624353;7.1682;2.6025;2.8994;0.0577;-0.2426;-0.1704
0000624421;7.2329;2.3152;2.7198;0.0289;-0.1669;-0.1258
0000624429;7.4005;2.2577;2.8443;0.0322;-0.1568;-0.1146
0000624441;7.3239;2.2266;2.8156;0.0360;-0.1378;-0.0861
0000624449;7.2305;2.1117;2.9473;0.0432;-0.1322;-0.0706
0000624457;7.3789;2.3367;2.9209;0.0404;-0.1132;-0.0488
0000624468;7.2113;2.2697;2.9353;0.0413;-0.0951;-0.0330
