time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0000698965;5.7365;2.9712;1.3527;-0.0337;-0.0242;-0.0088
0000698973;5.9209;3.0694;1.2617;-0.0313;-0.0269;-0.0113
0000698980;5.8921;3.1340;1.2641;-0.0288;-0.0308;-0.0196
0000698988;5.7628;3.0023;1.3048;-0.0290;-0.0326;-0.0151
0000698997;5.8682;3.0981;1.3623;-0.0309;-0.0357;-0.0159
0000699005;5.8873;3.0909;1.3886;-0.0282;-0.0452;-0.0165
0000699017;5.7197;3.0765;1.3264;-0.0334;-0.0426;-0.0096
0000699025;5.9256;3.0215;1.3144;-0.0373;-0.0477;-0.0087
0000699033;5.6934;2.9329;1.3982;-0.0382;-0.0512;-0.0141
0000699044;5.7221;3.0406;1.3216;-0.0360;-0.0556;-0.0096
0000699052;5.8323;3.0382;1.3743;-0.0392;-0.0617;-0.0123
0000699064;5.6862;2.8563;1.3240;-0.0361;-0.0644;-0.0143
0000699072;5.9352;3.0789;1.3479;-0.0401;-0.0608;-0.0096
0000699083;5.6958;2.8635;1.3791;-0.0432;-0.0616;-0.0087
0000699091;5.8419;2.9856;1.3575;-0.0384;-0.0613;-0.0096
0000699103;5.9711;2.9784;1.2689;-0.0401;-0.0588;-0.0119
0000699111;5.7652;2.9999;1.3575;-0.0381;-0.0608;-0.0152
0000699119;5.6790;2.8587;1.2737;-0.0354;-0.0552;-0.0139
0000699186;5.9783;3.0765;1.3312;-0.0420;-0.0781;0.0043
0000699194;5.7221;2.8802;1.3048;-0.0414;-0.0777;0.0036
0000699206;5.7820;2.7054;1.1540;-0.0204;-0.0878;-0.0009
0000699214;6.0334;2.8587;1.1995;-0.0240;-0.0815;0.0064
0000699225;5.9783;3.0622;1.2546;-0.0260;-0.0875;0.0116
0000699233;5.8634;3.2082;1.2186;-0.0280;-0.0951;0.0179
0000699245;5.8083;3.2872;1.3120;-0.0550;-0.1069;0.0269
0000699253;5.5545;3.1987;1.4820;-0.0705;-0.1263;0.0284
0000699261;5.6000;3.1580;1.4700;-0.0891;-0.1448;0.0345
0000699272;5.6886;3.1149;1.6113;-0.1119;-0.1713;0.0301
0000699280;5.7748;3.0574;1.6352;-0.1171;-0.1956;0.0222
0000699292;5.8059;3.0335;1.5012;-0.1282;-0.2228;0.0108
0000699300;6.0118;2.9928;1.4509;-0.1198;-0.2494;0.0004
0000699311;6.5290;2.6815;1.4006;-0.1160;-0.2665;-0.0091
0000699319;7.1347;2.7916;1.2594;-0.1035;-0.2495;-0.0225
0000699327;7.3430;2.7078;1.0870;-0.0967;-0.2078;-0.0374
0000699339;7.8219;2.7892;0.7949;-0.0947;-0.1070;-0.0714
0000699347;7.7548;2.6887;0.7326;-0.0883;-0.0155;-0.0849
0000699358;7.9511;2.7509;0.5818;-0.0589;0.1256;-0.0899
0000699366;7.6614;2.7821;0.6393;-0.0192;0.2193;-0.0734
0000699378;7.2688;2.9951;0.8068;0.0442;0.3425;-0.0309
0000699386;6.5960;3.1819;0.8930;0.0747;0.3912;-0.0005
0000699454;5.6503;3.0382;1.1133;0.0412;0.1759;0.0276
0000699462;5.6647;3.0071;1.1253;0.0381;0.1243;-0.0083
0000699470;5.7413;3.0765;1.1205;0.0304;0.0754;-0.0349
0000699482;5.6144;2.9832;1.0654;0.0229;0.0099;-0.0747
0000699490;5.6910;2.9185;1.2234;0.0151;-0.0213;-0.0846
0000699501;5.7102;3.0765;1.1732;0.0169;-0.0685;-0.1054
0000699509;5.5569;2.8946;1.1492;0.0077;-0.0821;-0.1062
0000699521;5.7700;2.8874;1.1827;0.0057;-0.1102;-0.1086
0000699529;5.7724;2.9664;1.2498;0.0024;-0.1130;-0.0966
0000699537;5.9089;3.0335;1.3455;0.0043;-0.1143;-0.0890
0000699548;6.0525;3.1460;1.3024;0.0135;-0.1015;-0.0886
0000699556;6.0358;2.9473;1.3168;0.0265;-0.0943;-0.0923
0000699568;6.2584;3.1173;1.2617;0.0329;-0.0821;-0.0926
0000699576;6.3231;3.0718;1.2594;0.0500;-0.0703;-0.0991
0000699587;6.3877;2.9377;1.2282;0.0545;-0.0574;-0.0839
0000699595;6.3686;3.1675;1.2091;0.0722;-0.0550;-0.0847
0000699603;6.0597;2.8156;1.1684;0.0697;-0.0504;-0.0702
0000699615;5.8802;2.8180;1.2833;0.0774;-0.0564;-0.0701
0000699623;5.7174;2.8491;1.2617;0.0838;-0.0655;-0.0730
0000699634;5.5905;2.7845;1.3048;0.0806;-0.0795;-0.0790
0000699642;5.5833;2.8323;1.3168;0.0747;-0.0798;-0.0843
0000699654;5.5665;2.8156;1.4006;0.0628;-0.0930;-0.0954
0000699662;5.7269;2.8898;1.3862;0.0472;-0.0887;-0.0915
0000699726;5.5091;2.9113;1.2833;0.0717;-0.1529;0.0183
0000699734;5.4420;2.9951;1.3862;0.0702;-0.1699;0.0282
0000699742;5.4157;3.0861;1.3910;0.0542;-0.1781;0.0297
0000699754;5.8634;3.4429;1.4413;0.0484;-0.1928;0.0123
0000699762;5.8610;3.3710;1.3671;0.0613;-0.1993;-0.0023
0000699773;6.0932;3.3734;1.1684;0.0666;-0.1880;-0.0123
0000699781;6.2106;3.4189;0.9912;0.0890;-0.1727;-0.0261
0000699793;6.1986;3.2777;0.7733;0.1041;-0.1450;-0.0398
0000699801;5.7964;3.0023;0.7757;0.1107;-0.1230;-0.0372
0000699809;5.6024;3.0909;0.6823;0.1104;-0.1114;-0.0460
0000699820;5.4612;3.3351;0.7614;0.1081;-0.1050;-0.0480
