time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0000603705;8.8322;2.7342;-0.2011;0.2987;-0.0617;0.0586
0000603713;8.5808;3.0478;-0.2825;0.2986;-0.0393;0.0526
0000603720;8.3725;3.1484;-0.4022;0.2743;-0.0238;0.0458
0000603728;8.2456;3.1819;-0.4357;0.2473;-0.0143;0.0352
0000603737;8.3629;3.1029;-0.2394;0.2058;-0.0144;0.0229
0000603745;8.4300;3.0119;-0.1341;0.1669;-0.0083;0.0116
0000603753;8.5186;2.8084;-0.0215;0.1498;-0.0003;-0.0069
0000603765;8.6359;2.5115;0.1053;0.1607;0.0000;-0.0508
0000603773;8.8442;2.5163;0.1915;0.1892;0.0063;-0.0799
0000603840;7.7979;3.4884;0.1053;0.2966;-0.0129;-0.2879
0000603848;7.8338;3.7541;0.0694;0.2892;-0.0258;-0.2651
0000603860;7.8075;4.0127;0.5243;0.2547;-0.0464;-0.2104
0000603868;7.8219;4.5059;0.7446;0.2169;-0.0549;-0.1616
0000603879;7.3310;5.1020;1.4174;0.1359;-0.0661;-0.0709
0000603887;6.8187;5.4109;1.1923;0.0509;-0.0935;0.0012
0000603895;6.1387;5.5881;0.8188;-0.0366;-0.1220;0.0730
0000603907;5.3415;5.3774;0.9601;-0.1236;-0.2160;0.1879
0000603915;5.2720;4.7812;0.9194;-0.1495;-0.3210;0.2222
0000603926;6.1052;3.7086;0.6105;-0.1751;-0.4225;0.2184
0000603934;7.0054;2.6001;0.5722;-0.1573;-0.4808;0.1751
0000603946;8.6550;1.4748;0.9625;-0.0498;-0.5179;0.1171
0000603954;9.6726;0.7973;0.9074;0.0685;-0.5068;0.0789
0000603962;10.5752;0.3352;0.8547;0.1799;-0.4525;0.0530
0000603973;11.3198;0.2801;0.7638;0.2852;-0.3204;-0.0004
0000603981;11.6622;0.5028;0.3998;0.3268;-0.1927;-0.0392
0000603993;11.6430;0.8763;-0.0599;0.3337;0.0318;-0.0850
0000604001;11.2192;1.1827;0.0527;0.3292;0.1751;-0.1316
0000604012;10.1778;2.2960;0.1628;0.3200;0.3797;-0.1872
0000604020;9.1937;2.7940;0.0646;0.3317;0.4959;-0.2162
0000604032;8.0110;4.0318;-0.0862;0.3203;0.6281;-0.2205
0000604040;7.3454;4.7525;-0.1413;0.2915;0.6857;-0.1919
0000604048;6.8570;5.0446;-0.1987;0.2445;0.7153;-0.1411
0000604115;7.6351;1.4892;0.4142;0.3139;0.5586;0.0500
0000604123;7.7333;1.7813;0.2418;0.3769;0.5272;0.0321
0000604135;7.6806;2.5809;-0.2729;0.3917;0.4908;-0.0165
0000604143;7.2377;3.0382;-0.5243;0.3543;0.4711;-0.0454
0000604154;6.9791;3.9265;-0.7901;0.2839;0.4214;-0.0882
0000604162;6.5314;4.0534;-0.8763;0.2226;0.3841;-0.1038
0000604170;6.4045;4.3311;-0.9290;0.1676;0.3396;-0.1123
0000604182;6.0765;4.1180;-0.7183;0.0999;0.2550;-0.1178
0000604190;6.3901;3.9816;-0.5626;0.0689;0.1924;-0.1148
0000604201;6.4404;3.6775;-0.3496;0.0618;0.1164;-0.1077
0000604209;6.7373;3.4620;-0.2274;0.0767;0.0658;-0.1022
0000604221;7.2113;3.1771;-0.1101;0.1063;0.0249;-0.1001
0000604229;7.5441;3.1580;-0.2586;0.1144;0.0173;-0.0910
0000604240;7.5705;3.0742;-0.1437;0.1025;0.0313;-0.0819
0000604248;7.7716;3.2322;-0.1437;0.0962;0.0438;-0.0841
0000604256;7.6064;3.2561;-0.0982;0.0721;0.0715;-0.0785
0000604268;7.5872;3.3064;-0.1197;0.0512;0.0967;-0.0830
0000604276;7.5369;3.4261;-0.1939;0.0350;0.1226;-0.0750
0000604287;7.7668;3.3686;-0.1532;0.0277;0.1316;-0.0763
0000604295;7.5992;3.3686;-0.2035;0.0188;0.1391;-0.0706
0000604307;7.5202;3.1771;-0.1724;0.0152;0.1310;-0.0616
0000604315;7.4077;3.1556;-0.1413;0.0193;0.1228;-0.0662
0000604323;7.4579;3.3184;-0.0575;0.0222;0.1130;-0.0528
0000604390;6.8354;3.3902;-0.1580;-0.1299;-0.0099;-0.0133
0000604398;6.7014;3.1651;-0.1293;-0.1230;-0.0384;-0.0196
0000604410;6.9240;3.0023;-0.2346;-0.1095;-0.0620;-0.0278
0000604418;7.0820;2.9329;-0.1748;-0.0926;-0.0793;-0.0285
0000604429;7.1228;3.1196;-0.2969;-0.0821;-0.1003;-0.0425
0000604437;7.0270;2.9449;-0.4166;-0.0813;-0.1099;-0.0464
0000604449;6.8690;3.1747;-0.5531;-0.0862;-0.1276;-0.0490
