time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
59001;4.3215;-13.4434;7.082;-1.2597;0.0687;-0.5207
59010;4.6136;-14.0923;6.9432;-1.2752;0.0273;-0.5929
59022;5.9496;-15.0332;7.4891;-1.2784;0.0147;-0.6203
59031;6.347;-15.7515;8.1475;-1.2368;0.0449;-0.6069
59040;6.9983;-15.7945;8.248;-1.2004;0.0741;-0.5838
59053;6.9839;-15.6222;8.6503;-1.2381;0.1332;-0.5465
59062;6.7157;-15.1697;8.3677;-1.2357;0.1533;-0.5203
59074;6.4069;-15.275;7.3143;-1.3146;0.1244;-0.5047
59083;6.6511;-15.8041;6.3949;-1.3034;0.115;-0.5032
59152;4.1037;-15.8185;7.1922;-1.0124;0.2312;-0.1139
59161;3.8331;-15.3229;7.2496;-1.0533;0.1657;-0.0974
59173;3.9361;-15.5575;6.9983;-1.1;0.0943;-0.041
59182;4.5394;-15.5312;6.4691;-1.1193;0.0665;0.0225
59191;5.0661;-15.84;5.9065;-1.1474;0.0604;0.083
59204;5.6407;-16.599;5.7748;-1.1205;0.0746;0.1655
59213;5.8299;-16.7905;5.8323;-1.0773;0.0847;0.1905
59225;6.0454;-16.9055;5.7652;-1.0058;0.1107;0.1829
59234;6.2106;-16.5798;5.6982;-0.9662;0.1403;0.1704
59247;6.1076;-16.3883;5.3989;-0.9363;0.1693;0.1398
59256;5.9017;-16.1944;5.2505;-0.9158;0.201;0.1216
59268;5.8969;-16.1345;5.1763;-0.8816;0.2306;0.1143
59277;5.794;-16.4194;4.6328;-0.8483;0.2542;0.125
59286;5.861;-16.5559;4.4388;-0.7974;0.261;0.1206
59299;5.5785;-16.5846;4.47;-0.6903;0.2637;0.1039
59308;5.3917;-16.5439;4.5226;-0.6293;0.2446;0.0795
59320;5.0111;-16.271;4.4125;-0.5801;0.21;0.0345
59329;5.0206;-16.1273;4.3;-0.5681;0.1832;0.0025
59342;5.2002;-16.0459;4.3263;-0.5544;0.1442;-0.0364
59351;5.387;-16.0866;4.276;-0.5389;0.1218;-0.0564
59363;5.5474;-16.1872;4.0079;-0.5007;0.1017;-0.058
59372;5.7389;-16.1872;3.8786;-0.4638;0.0863;-0.0489
59441;6.0118;-15.105;3.134;-0.3962;0.091;-0.081
59450;5.952;-15.1122;3.1508;-0.4018;0.0985;-0.0762
59459;6.0717;-15.0116;3.0694;-0.3985;0.0969;-0.0851
59471;5.9304;-15.1768;2.8994;-0.404;0.0923;-0.0737
59480;5.8466;-15.2894;2.8204;-0.4179;0.0986;-0.0731
59493;5.8371;-15.2247;2.6336;-0.4307;0.0843;-0.0738
59502;5.5474;-15.3899;2.7294;-0.4479;0.0719;-0.0785
59514;5.3798;-15.6317;2.7797;-0.459;0.0576;-0.0757
59523;5.3678;-15.8065;2.7581;-0.457;0.0348;-0.083
59536;5.2672;-15.7275;2.7318;-0.4659;0.0157;-0.0791
59545;5.2984;-15.8712;2.7845;-0.4723;0.0044;-0.0798
59557;5.3103;-16.0148;2.7821;-0.481;-0.0095;-0.0837
59566;5.6048;-15.9957;2.8156;-0.485;-0.0133;-0.0785
59575;5.8035;-15.9238;2.8922;-0.4759;-0.0175;-0.083
59588;5.6527;-15.9981;2.8132;-0.4676;-0.0175;-0.0885
59597;5.928;-15.8233;2.9185;-0.4618;-0.0151;-0.0906
59609;6.1866;-15.785;2.9377;-0.4654;-0.0021;-0.1003
59618;5.9616;-15.9789;2.9281;-0.4707;0.0131;-0.1033
59632;6.0262;-15.9143;2.7677;-0.4679;0.0264;-0.1184
59641;6.019;-15.9526;2.8611;-0.4575;0.0337;-0.1319
59654;5.8514;-15.8975;2.6169;-0.4533;0.0378;-0.1323
59663;5.8371;-15.9262;2.715;-0.4523;0.0369;-0.1324
59731;6.0071;-15.7538;2.2194;-0.4706;0.0019;-0.1143
59740;5.8921;-15.9454;2.0734;-0.473;-0.0101;-0.1156
59749;5.952;-15.8209;2.1452;-0.4858;-0.0052;-0.1131
59762;5.873;-15.8568;1.9872;-0.4982;-0.0136;-0.1128
59771;5.928;-16.0986;1.8866;-0.5;-0.0266;-0.118
59783;5.9903;-16.0459;1.7526;-0.5059;-0.033;-0.1211
59792;6.1459;-16.0771;1.7286;-0.5044;-0.0334;-0.1112
59805;6.2608;-16.0675;1.7478;-0.4919;-0.0496;-0.123
59814;6.2489;-16.1226;1.6281;-0.4836;-0.0528;-0.1195
59826;6.2321;-15.9861;1.5874;-0.5013;-0.0545;-0.1051
59835;6.3614;-15.9238;1.3647;-0.5053;-0.0625;-0.1074
59848;6.2776;-15.9789;1.3048;-0.5227;-0.0541;-0.1029
59857;6.2153;-16.0842;1.3144;-0.5345;-0.0534;-0.1007
59869;6.1148;-16.0268;1.2522;-0.5421;-0.0525;-0.1002
59878;6.2632;-15.8975;1.0726;-0.5522;-0.0518;-0.0981
59887;6.1292;-16.168;1.0654;-0.5525;-0.0592;-0.1017
59900;6.2273;-16.0627;0.9625;-0.5608;-0.061;-0.097
59909;6.1459;-16.2183;1.0008;-0.5666;-0.0561;-0.0821
59921;6.4476;-16.1297;0.838;-0.5701;-0.0593;-0.0757
59930;6.4356;-16.1513;0.8547;-0.5694;-0.0572;-0.0605
59943;6.292;-16.1178;0.8452;-0.5817;-0.041;-0.0525
59952;6.3805;-16.1872;0.7566;-0.578;-0.038;-0.0649
