time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0;5.296;-15.6437;2.7605;0.0959;0.0842;-0.0203
8;5.387;-15.6246;2.7102;0.0939;0.0826;-0.0228
15;5.3439;-15.5408;2.7964;0.0995;0.0734;-0.0309
23;5.2912;-15.682;2.8635;0.0951;0.0699;-0.0209
34;5.3965;-15.7131;2.8587;0.0886;0.0711;-0.0188
42;5.3463;-15.6533;2.8347;0.0849;0.0681;-0.0215
110;5.2481;-15.4713;2.8563;0.0847;0.0711;0.0023
118;5.2984;-15.5049;2.909;0.0935;0.0859;0.0077
126;5.2744;-15.6293;3.0215;0.0999;0.0985;0.0073
137;5.138;-15.8209;3.0622;0.097;0.1286;0.0153
145;4.9536;-15.9789;2.9664;0.1115;0.1402;0.006
157;4.9943;-15.8664;2.9616;0.1266;0.1549;-0.0009
165;4.9991;-15.5527;3.0215;0.1256;0.1728;-0.0073
176;4.8076;-15.6892;2.9928;0.1408;0.176;-0.0208
184;4.6663;-15.615;2.873;0.1539;0.1801;-0.0249
192;4.7142;-15.6054;2.8754;0.1472;0.1793;-0.025
204;4.6208;-15.4234;2.7773;0.1324;0.1739;-0.0236
212;4.5274;-15.4665;2.7988;0.1144;0.1612;-0.0253
223;4.1659;-15.627;2.7557;0.1009;0.1518;-0.0175
231;4.3551;-15.524;2.6647;0.0815;0.1344;-0.0175
243;4.2904;-15.5982;2.7869;0.0669;0.1073;-0.0177
251;4.2689;-15.5456;2.6839;0.0492;0.1011;-0.0043
262;4.3838;-15.706;2.8898;0.0389;0.0801;0.0052
270;4.4819;-15.9382;2.6719;0.0123;0.0787;0.0197
278;4.3191;-16.1202;2.7749;0.0063;0.0741;0.0312
290;4.5131;-16.034;2.5738;-0.0176;0.0906;0.0545
298;4.6088;-15.9861;2.6217;-0.0302;0.0933;0.0544
309;4.7884;-15.8329;2.5642;-0.0593;0.1188;0.0562
317;4.8866;-15.7562;2.5187;-0.0705;0.1356;0.0522
385;4.6352;-15.6605;2.4517;-0.063;0.2388;0.0666
393;4.5681;-15.5527;2.5019;-0.0489;0.2306;0.0695
404;4.4412;-15.5049;2.5163;-0.0354;0.2081;0.0809
412;4.1875;-15.5599;2.5474;-0.0364;0.1857;0.0979
420;4.391;-15.3756;2.6432;-0.0232;0.1607;0.1035
432;4.3407;-15.4785;2.5211;-0.0111;0.1251;0.1238
440;4.4388;-15.3636;2.4636;-0.0021;0.1062;0.1284
451;4.6807;-15.2702;2.4038;0.0005;0.0877;0.1422
459;4.8459;-15.3133;2.3655;-0.01;0.0838;0.1495
471;5.0661;-15.2535;2.3966;-0.0064;0.0905;0.1565
479;4.9895;-15.4618;2.375;0.0031;0.1022;0.1611
490;5.0326;-15.6102;2.399;0.0201;0.1294;0.1625
498;5.126;-15.5025;2.3894;0.0252;0.1525;0.1541
506;4.889;-15.6174;2.3535;0.0357;0.1712;0.1395
518;4.8004;-15.9334;2.4828;0.0325;0.1943;0.0903
526;4.5179;-16.1537;2.4972;0.0508;0.1893;0.0558
537;4.2976;-16.2878;2.5043;0.0536;0.1831;0.0253
545;4.1899;-16.1297;2.4181;0.0596;0.1644;-0.0043
557;4.2138;-16.0651;2.5091;0.0466;0.1332;-0.0203
565;4.3838;-15.8616;2.4086;0.0408;0.1106;-0.0264
577;4.2162;-15.7299;2.3798;0.0306;0.0749;-0.0052
585;4.4149;-15.8233;2.411;0.0336;0.0434;0.0024
593;4.4029;-15.706;2.4756;0.0302;0.025;0.0252
660;4.3838;-15.5982;2.0949;0.0224;-0.1286;0.0306
668;4.1132;-15.7515;2.1524;0.0183;-0.1492;0.0236
679;4.2234;-15.5288;2.0303;0.0217;-0.1911;0.0116
687;4.1563;-15.5982;2.0111;0.0203;-0.2218;0.0067
699;4.1779;-15.3636;1.9034;0.0141;-0.2661;0.0024
707;4.0199;-15.4665;1.8268;0.0163;-0.3031;-0.0136
718;4.1994;-15.3492;1.8196;0.0043;-0.3312;-0.0165
726;4.2737;-15.3325;1.7621;-0.0072;-0.3477;-0.0248
734;4.2904;-15.3923;1.7837;-0.0123;-0.3765;-0.0454
746;4.4867;-15.6748;1.9154;-0.0167;-0.4014;-0.0705
755;4.549;-15.6581;2.0255;-0.0133;-0.4004;-0.087
765;4.8363;-15.7922;2.0901;-0.0025;-0.3993;-0.1175
773;4.9799;-15.6868;2.0925;0.0047;-0.382;-0.1407
785;5.2553;-15.7084;1.8962;0.0139;-0.3543;-0.1777
793;5.3008;-15.6293;1.9896;0.0228;-0.3321;-0.2086
804;5.4372;-15.5216;1.8531;0.0224;-0.2995;-0.2414
812;5.4564;-15.1768;1.8603;0.0221;-0.2848;-0.2707
824;5.3774;-15.1697;1.8699;-0.0036;-0.2426;-0.2906
832;5.1811;-15.2463;1.7573;-0.0366;-0.2241;-0.2962
840;5.0326;-15.1936;1.7669;-0.0645;-0.2097;-0.303
852;4.9177;-15.3085;1.7645;-0.0994;-0.1911;-0.2991
860;4.7405;-15.5264;1.7813;-0.1098;-0.1966;-0.2976
928;4.3191;-15.9789;1.4293;-0.1468;-0.3846;-0.0362
936;4.0797;-16.0866;1.4748;-0.1446;-0.4201;0.0188
947;3.9624;-16.2135;1.4509;-0.1239;-0.461;0.0782
955;4.0414;-16.0962;1.5083;-0.1118;-0.4908;0.1179
967;4.0773;-16.1704;1.7095;-0.0933;-0.5155;0.1466
975;4.446;-15.9214;1.7238;-0.0959;-0.5216;0.1514
986;4.8794;-15.9813;1.5969;-0.1156;-0.5177;0.149
994;5.2792;-15.9981;1.7286;-0.1366;-0.5003;0.1427
