time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
55002;-3.1292;-5.9975;2.7964;0.0119;-0.0418;0.0007
55011;-3.1699;-5.9735;2.7461;-0.0044;-0.0329;0.002
55024;-3.0933;-6.0023;2.8515;-0.0135;-0.0341;-0.0036
55033;-3.2777;-6.1052;2.8084;-0.0195;-0.0316;-0.0088
55045;-3.1532;-6.0932;2.8132;-0.0197;-0.0338;-0.0173
55054;-2.9975;-6.019;2.8587;-0.0184;-0.0417;-0.0256
55067;-3.1077;-6.0262;2.7869;-0.0217;-0.0372;-0.0277
55076;-3.1867;-6.0956;2.7461;-0.0286;-0.0473;-0.0289
55085;-2.9832;-6.1124;2.7629;-0.0234;-0.0492;-0.0256
55097;-3.2178;-6.1435;2.8778;-0.0188;-0.0569;-0.0281
55106;-3.1532;-6.2201;2.818;-0.0188;-0.0497;-0.0159
55119;-3.1747;-6.1411;2.8084;-0.0133;-0.0466;-0.0156
55128;-3.1196;-6.1818;2.8754;-0.0097;-0.0461;-0.0183
55142;-3.0646;-6.1555;2.8419;-0.0037;-0.051;-0.0175
55151;-3.158;-6.1124;2.873;-0.0132;-0.0424;-0.0157
55219;-3.0358;-6.1507;2.8299;-0.0242;-0.0361;-0.0165
55228;-3.1053;-6.1627;2.7342;-0.0147;-0.0418;-0.0139
55240;-3.1699;-6.2058;2.8635;-0.0164;-0.0332;-0.0033
55249;-3.0574;-6.2537;2.8467;-0.0089;-0.0384;-0.008
55263;-3.2561;-6.2537;2.9066;-0.0108;-0.0334;-0.0001
55272;-3.0694;-6.0262;2.8204;-0.0063;-0.031;0.0084
55281;-3.0406;-6.0621;2.8754;-0.0031;-0.0337;-0.0032
55294;-3.1627;-6.1196;2.8299;-0.0084;-0.0309;-0.0009
55303;-3.1412;-6.1268;2.7821;-0.0128;-0.0337;-0.0047
55315;-2.9808;-5.9544;2.8659;-0.01;-0.0276;-0.0075
55324;-3.0646;-6.0741;2.8419;-0.02;-0.0204;-0.008
55337;-3.1244;-6.1555;2.8132;-0.0157;-0.0236;-0.0137
55346;-3.0526;-6.0286;2.8706;-0.0137;-0.0209;-0.0127
55358;-3.0478;-6.1268;2.8946;-0.0148;-0.0221;-0.0193
55367;-3.0933;-6.1938;2.8036;-0.0163;-0.0165;-0.0128
55380;-3.1771;-6.1579;2.8132;-0.0132;-0.0195;-0.0124
55389;-3.122;-5.9759;2.8443;-0.0091;-0.0261;-0.0199
55401;-2.9664;-5.9089;2.8611;-0.0033;-0.033;-0.0261
