time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
20005;4.5346;-15.1409;2.8108;0.1608;0.5784;-0.1687
20017;4.8147;-15.4354;2.8706;0.1394;0.5879;-0.172
20026;5.1044;-15.5934;2.8706;0.142;0.5997;-0.1876
20035;5.1212;-15.8137;2.8874;0.1552;0.6181;-0.2028
20048;5.1763;-15.761;2.8539;0.1788;0.6598;-0.2294
20057;5.1499;-15.7371;2.7509;0.1947;0.6933;-0.2395
20069;5.102;-15.4761;2.7198;0.2108;0.7205;-0.2502
20078;4.9823;-15.5551;2.7557;0.2117;0.7546;-0.2356
20146;4.8219;-15.3756;3.1053;0.1739;0.8669;-0.1764
20155;4.7645;-15.5527;3.0981;0.1807;0.8868;-0.1815
20168;4.865;-15.524;3.0311;0.199;0.9204;-0.1956
20177;5.1978;-15.4234;3.1268;0.2089;0.9451;-0.206
20186;5.2337;-15.4354;3.0909;0.205;0.9874;-0.211
20198;5.2864;-15.4306;3.0335;0.2102;1.034;-0.221
20207;5.1595;-15.3827;2.9353;0.216;1.0696;-0.2237
20220;5.1164;-15.6653;3.0071;0.2266;1.1147;-0.2317
20229;5.0566;-15.627;2.976;0.2461;1.143;-0.2341
20241;4.877;-15.6054;3.0239;0.2669;1.1867;-0.243
20250;4.8219;-15.5001;3.0358;0.2823;1.2104;-0.2518
20263;4.7429;-15.4306;3.0694;0.2982;1.251;-0.2683
20272;4.5011;-15.3971;3.134;0.3058;1.2704;-0.292
20281;4.6112;-15.1074;3.0263;0.287;1.2947;-0.2932
20293;4.4556;-15.0069;2.9257;0.2549;1.3051;-0.3016
20302;4.3407;-14.7267;2.9209;0.2149;1.3053;-0.3068
20315;4.2042;-14.382;2.7509;0.1351;1.2825;-0.2931
20324;3.6081;-14.5951;2.7749;0.0959;1.2444;-0.2677
20336;3.3423;-14.631;2.8611;0.0759;1.1896;-0.2212
20345;2.9401;-14.8297;3.0957;0.0821;1.1451;-0.1867
20414;4.1372;-15.2942;3.0358;0.1843;0.8876;-0.1292
20423;4.3574;-15.4618;3.0574;0.1805;0.8945;-0.1591
20432;4.7549;-15.4833;3.1316;0.1759;0.9081;-0.1943
20444;4.9321;-15.6174;2.909;0.1724;0.951;-0.228
20453;5.1595;-15.5312;2.8132;0.1716;0.99;-0.2482
20466;5.102;-15.6724;2.8012;0.1781;1.0456;-0.2763
20475;5.3917;-15.4594;2.7845;0.1997;1.0918;-0.2855
20487;5.4037;-15.5719;2.7414;0.2193;1.1608;-0.2984
20496;5.1212;-15.6557;2.8323;0.2434;1.2053;-0.3
20509;4.9033;-15.694;2.7629;0.273;1.262;-0.3176
20518;4.8123;-15.6605;2.7892;0.281;1.2885;-0.334
20527;4.5729;-15.6174;2.715;0.2705;1.3126;-0.3527
20539;4.3072;-15.5839;2.6624;0.2571;1.3226;-0.3824
20548;4.3;-15.3468;2.5881;0.2439;1.3319;-0.3872
20561;4.1994;-15.4594;2.6887;0.2293;1.3262;-0.4012
20570;4.0534;-15.4402;2.7438;0.2288;1.3194;-0.401
20582;3.8714;-15.6126;2.7246;0.2325;1.2983;-0.3996
20591;3.7421;-15.7131;2.6695;0.2422;1.2794;-0.4004
20604;4.0079;-15.4067;2.6121;0.2542;1.2557;-0.4195
20613;3.6583;-15.4881;2.5666;0.245;1.2416;-0.4209
20622;3.6512;-15.6413;2.5115;0.2422;1.2311;-0.4213
20634;3.9768;-15.3995;2.5211;0.2421;1.2296;-0.4257
20643;3.6248;-15.6246;2.6169;0.2437;1.2257;-0.4237
20712;3.4788;-15.3756;2.3966;0.2932;1.1624;-0.4016
20721;3.2753;-15.3444;2.4924;0.31;1.139;-0.4117
20733;3.3543;-15.1625;2.3894;0.3082;1.1101;-0.4259
20742;3.1364;-15.4306;2.3343;0.2962;1.0901;-0.4241
20755;3.3327;-15.0236;2.3774;0.2711;1.0521;-0.4329
20764;3.2417;-15.014;2.2769;0.2554;1.0289;-0.4446
20773;3.2633;-15.0069;2.3655;0.2494;1.003;-0.4584
20785;3.4165;-14.9614;2.411;0.2205;0.9826;-0.4582
20794;3.3016;-15.0164;2.3224;0.201;0.9659;-0.4735
20807;3.6703;-14.88;2.3128;0.1687;0.9345;-0.4955
20816;3.7278;-14.9039;2.308;0.1339;0.9234;-0.4923
20828;3.6871;-14.9877;2.138;0.0847;0.9012;-0.5036
20837;3.553;-15.1984;1.992;0.0438;0.8801;-0.5097
20850;3.735;-14.9446;1.8483;-0.0155;0.8412;-0.5133
20859;3.4764;-15.1146;1.8747;-0.0473;0.8088;-0.4988
20868;3.395;-14.9111;1.8411;-0.0733;0.7601;-0.4946
20880;3.0574;-15.0308;1.8794;-0.112;0.7;-0.4715
20889;2.9137;-14.9757;1.8747;-0.1484;0.6467;-0.4553
20902;3.0263;-15.0045;2.0423;-0.1821;0.5582;-0.4417
20911;2.7749;-15.2487;2.1189;-0.203;0.4954;-0.4317
20923;3.0263;-15.3013;2.3104;-0.2385;0.4113;-0.4161
20932;3.213;-15.5049;2.5474;-0.2703;0.3679;-0.3892
