,max_acc_re_raw,std_acc_re_raw,var_acc_re_raw,iqr_acc_re_raw,mad_acc_re_raw,max_acc_re_jerk,min_acc_re_jerk,range_acc_re_jerk,std_acc_re_jerk,var_acc_re_jerk,mad_acc_re_jerk,max_gyro_re_raw,std_gyro_re_raw,var_gyro_re_raw,iqr_gyro_re_raw,mad_gyro_re_raw,max_gyro_re_jerk,min_gyro_re_jerk,range_gyro_re_jerk,std_gyro_re_jerk,var_gyro_re_jerk,mad_gyro_re_jerk,fall_adl_bin,person_id
7,76.03689612214586,10.008717994973514,100.17443590290664,5.566221154158743,2.9402099579703798,39.91359420080982,-36.0251118789604,75.93870607977021,6.74697649738472,45.52169185626179,0.6891442034451338,4.90079512018203,0.9588605775230443,0.9194136071278262,1.4499721885009873,0.6982639427591012,1.4851221613292762,-2.1855084720847024,3.6706306334139787,0.4836182886970786,0.23388664916229088,0.22180430215213917,1,P01
14,27.640773932182146,5.992466629353258,35.9096563039124,10.007666432087358,3.9661843697429706,11.271461423494632,-14.967072106748505,26.23853353024314,3.7534070139638636,14.088064212473126,1.0423481330446798,5.816292455679993,1.5296569731661898,2.3398504555559496,2.765061404948387,1.2056258681171417,2.221514508522196,-1.4996928669312442,3.72120737545344,0.49941635017065394,0.24941669081777723,0.11765457104462496,1,P01
18,37.25784579306753,6.346144039995892,40.27354417637538,9.312718865045346,3.7107826865122684,19.88815418441977,-8.400244341172488,28.288398525592257,3.2182988724869643,10.357447632650867,0.5041843243732096,5.403199239339597,1.398991502907978,1.9571772252087232,1.4878174027861593,0.8340274840303437,3.229411486067704,-1.4264272966285023,4.655838782696207,0.5116174659775562,0.2617524314932959,0.14398796727461957,1,P01
35,93.61089008171004,10.095335378508537,101.9157964045661,7.51841508652911,3.99990229926215,75.8249779203954,-69.05364028618122,144.87861820657662,12.108990923586022,146.62766118748868,1.5141470604017684,5.625470976727193,1.3532947800720632,1.8314067617702936,2.265149563146516,1.091244288337609,3.7869736933778944,-2.523515865317089,6.310489558694983,0.7438343614510212,0.5532895572752484,0.2961614284313579,1,P01
63,54.81808864471653,9.130828646607958,83.3720317737165,4.909635945454735,1.666574963997073,19.1171492328302,-27.57683383762727,46.69398307045747,5.637665756754354,31.783275184880644,0.5755466875974022,5.111273921440721,1.6312287331371185,2.660907179812128,2.906404770765758,0.8773406572218221,3.295670061722661,-1.0483498666151765,4.344019928337838,0.607688430185752,0.36928522818162357,0.0757926940949614,1,P01
65,71.03966666454734,10.280549267282328,105.68969323701923,5.685620966532634,2.5476042817494857,51.41614504277924,-37.692515579820395,89.10866062259964,7.591978810825495,57.6381422640233,0.8087898988515256,4.8798525992083,1.2864151307199456,1.654863888545215,2.050523417439134,1.0727756187283712,1.696129638584999,-2.453599596047269,4.149729234632268,0.5232088139148139,0.2737474629581464,0.1564171023404618,1,P01
70,23.276515885759192,4.193466353380188,17.585160056931734,5.228758147314851,2.700055713212418,11.3645627329164,-6.089615077876463,17.454177810792864,1.9343821615912922,3.7418343470826003,0.6561601719562411,2.1653260216420067,0.48468215943622517,0.2349167956757624,0.7711625340878672,0.36522983973430523,0.8707243140216926,-0.7545643261976599,1.6252886402193525,0.2653376979507307,0.0704040939537932,0.10962357245401638,1,P01
71,29.072783688185073,5.023809986425068,25.238666779704243,4.497895789937697,2.0961160856649244,10.059440584590098,-8.85894644999193,18.918387034582025,2.6227211193868603,6.878666070077864,0.9205080925838214,5.003229994713415,1.0381514401809466,1.0777584127497737,1.557047391248733,0.7195206250032333,1.859994092843237,-0.713493360182015,2.573487453025252,0.37947453713773344,0.14400092433589703,0.19048764752084435,1,P01
72,30.901258547023613,6.4547770529441335,41.66414680321415,8.177096787108024,4.4321811218363685,12.219739114309698,-8.755001001791111,20.97474011610081,3.2606402609496103,10.631774911325543,0.848292967563598,4.80305794052081,1.404929426171212,1.9738266925217707,2.5872043426695814,1.039760577390647,2.1094181447298386,-1.454762426964134,3.5641805716939725,0.5462300191210818,0.29836723378901747,0.14940730189768175,1,P01
76,26.524465389711438,3.8768046189162333,15.029614053250242,5.871105376046074,3.0111725794882354,18.198553861236014,-10.410859943204189,28.6094138044402,2.980512096684856,8.883452358484757,0.6209330439150782,4.8209016366235895,1.2570001185097213,1.5800492979334535,1.7500534029733534,0.745822176917497,1.5841265038718562,-4.153959517695717,5.7380860215675735,0.6664932924766949,0.44421330891642513,0.24529432475841176,1,P01
