time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0000501691;6.3135;-15.1002;4.0127;-0.0486;-0.0211;-0.0388
0000501699;6.4763;-15.0452;4.0247;-0.0436;-0.0241;-0.0386
0000501708;6.4045;-15.1529;4.0151;-0.0352;-0.0187;-0.0386
0000501717;6.4596;-15.0140;3.9528;-0.0288;-0.0220;-0.0408
0000501727;6.5098;-15.0188;3.9983;-0.0191;-0.0270;-0.0402
0000501736;6.5505;-14.9733;3.9744;-0.0221;-0.0172;-0.0320
0000501749;6.5505;-15.0332;3.9385;-0.0167;-0.0217;-0.0321
0000501758;6.4404;-15.0907;4.0342;-0.0037;-0.0236;-0.0290
0000501770;6.4093;-15.0811;3.9002;-0.0043;-0.0254;-0.0262
0000501779;6.5553;-14.9781;3.9409;0.0019;-0.0334;-0.0286
0000501788;6.4069;-15.1409;3.9648;0.0036;-0.0253;-0.0201
0000501801;6.4236;-15.1074;3.9504;0.0081;-0.0276;-0.0189
0000501810;6.2656;-15.2319;3.9768;0.0103;-0.0298;-0.0216
0000501822;6.4045;-15.1721;4.0318;0.0135;-0.0284;-0.0203
0000501831;6.3518;-15.2056;4.0414;0.0221;-0.0317;-0.0175
0000501844;6.5697;-15.0140;4.0534;0.0203;-0.0344;-0.0168
0000501853;6.3422;-15.1960;4.1061;0.0268;-0.0426;-0.0221
0000501922;6.3542;-15.2056;4.0031;-0.0123;-0.0370;-0.0173
0000501931;6.5505;-15.0069;4.1156;-0.0075;-0.0417;-0.0167
0000501944;6.5242;-15.1409;4.0007;-0.0055;-0.0345;-0.0092
0000501953;6.2944;-15.2152;4.0079;-0.0043;-0.0461;-0.0184
0000501962;6.3758;-15.2822;3.9792;-0.0003;-0.0425;-0.0133
0000501974;6.4069;-15.1098;4.1013;-0.0057;-0.0464;-0.0152
0000501983;6.3782;-15.2606;4.0294;-0.0081;-0.0449;-0.0195
0000501996;6.5888;-15.1026;4.0893;-0.0155;-0.0454;-0.0195
0000502005;6.4548;-15.1385;4.0941;-0.0228;-0.0373;-0.0187
0000502017;6.4548;-15.1242;4.0654;-0.0199;-0.0330;-0.0165
0000502026;6.5745;-15.1505;4.1180;-0.0228;-0.0270;-0.0167
0000502039;6.3422;-15.1721;4.0749;-0.0172;-0.0272;-0.0229
0000502048;6.3518;-15.1721;3.9648;-0.0205;-0.0203;-0.0168
0000502060;6.3255;-15.1697;4.0390;-0.0208;-0.0220;-0.0208
0000502069;6.3375;-15.2152;4.0270;-0.0195;-0.0292;-0.0253
0000502082;6.5697;-15.0284;4.0677;-0.0215;-0.0245;-0.0208
0000502091;6.4883;-15.0811;4.0462;-0.0201;-0.0337;-0.0203
0000502100;6.5577;-15.1385;4.1204;-0.0273;-0.0229;-0.0133
