time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0000765521;6.0813;2.7581;0.7661;0.1134;0.6634;0.1100
0000765530;6.1268;2.8012;0.7159;0.1226;0.6535;0.1158
0000765537;6.1699;3.0119;0.6776;0.1324;0.6398;0.1171
0000765545;5.9711;2.8898;0.6440;0.1386;0.6227;0.1074
0000765612;5.9664;3.4620;0.6225;0.1306;0.4361;0.0620
0000765620;5.9544;3.4381;0.6033;0.1199;0.4177;0.0605
0000765628;6.0023;3.6176;0.5602;0.1104;0.3970;0.0549
0000765640;5.9927;3.4405;0.5986;0.0953;0.3648;0.0461
0000765648;5.9280;3.2657;0.7087;0.0823;0.3588;0.0460
0000765659;6.0430;3.2633;0.7159;0.0737;0.3332;0.0380
0000765667;6.1603;3.3495;0.7063;0.0530;0.3272;0.0408
0000765675;6.2896;3.2992;0.6656;0.0490;0.3190;0.0393
0000765687;6.3087;3.2944;0.8882;0.0316;0.3035;0.0389
0000765695;6.2201;3.3758;0.7733;0.0191;0.3030;0.0410
0000765706;6.3087;3.2705;0.7805;0.0040;0.2960;0.0400
0000765714;6.2896;3.3615;0.8380;-0.0048;0.2863;0.0313
0000765726;6.2441;3.2992;0.8499;-0.0131;0.2769;0.0264
0000765734;6.2896;3.2896;0.7949;-0.0212;0.2670;0.0240
0000765742;6.2321;3.3471;0.7494;-0.0357;0.2646;0.0285
0000765753;6.3662;3.4237;0.8188;-0.0456;0.2591;0.0314
0000765761;6.2848;3.3734;0.7709;-0.0520;0.2447;0.0273
0000765773;6.1531;3.4429;0.6033;-0.0592;0.2229;0.0240
0000765781;6.1770;3.4309;0.6680;-0.0678;0.1969;0.0183
0000765792;5.9472;3.2130;0.5626;-0.0770;0.1592;0.0112
0000765800;6.0621;3.3662;0.5650;-0.0838;0.1236;0.0008
0000765808;5.9233;3.3591;0.5291;-0.0942;0.0954;0.0015
0000765875;6.2752;3.2274;0.5004;-0.1367;-0.1887;-0.0240
0000765883;6.3566;3.2537;0.5507;-0.1294;-0.2201;-0.0257
0000765894;6.4045;3.0478;0.6488;-0.1248;-0.2617;-0.0237
0000765902;6.3901;3.1077;0.6632;-0.1230;-0.2828;-0.0159
0000765914;6.3638;3.0813;0.7111;-0.1163;-0.3167;-0.0191
0000765922;6.4189;3.1364;0.7278;-0.1100;-0.3417;-0.0220
0000765933;6.2680;3.0430;0.6728;-0.1140;-0.3688;-0.0252
0000765941;6.3231;3.0478;0.7877;-0.1118;-0.4010;-0.0292
