time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0000360844;9.6438;-0.2562;3.0933;-0.4069;-1.2275;-0.8867
0000360852;8.9807;-0.3711;3.3208;-0.4219;-1.1033;-0.7813
0000360859;8.8178;-0.1939;3.6847;-0.4639;-1.0387;-0.6788
0000360867;8.2289;-0.1772;4.2329;-0.5123;-1.0178;-0.5761
0000360876;7.3765;-0.1867;4.6424;-0.5578;-1.0253;-0.4598
0000360884;6.6774;-0.0934;4.6759;-0.5494;-1.0704;-0.3945
0000360896;5.8275;0.0718;4.8052;-0.4711;-1.1238;-0.3555
0000360904;5.5019;0.3328;4.6783;-0.4020;-1.1447;-0.3732
0000360912;5.4109;0.5291;4.5298;-0.3565;-1.1740;-0.4026
0000360923;5.8538;0.6776;4.3766;-0.2986;-1.2269;-0.4527
0000360931;6.4739;0.8763;4.4365;-0.2502;-1.2438;-0.4686
0000360997;11.6430;2.2434;5.2074;0.0509;-1.1053;-0.6290
0000361005;11.2575;1.8771;4.9943;0.0886;-1.1082;-0.5837
0000361016;10.4411;1.4964;4.5945;0.1556;-1.1199;-0.4734
0000361024;9.9383;1.3024;4.5059;0.2142;-1.1405;-0.3924
0000361036;9.5026;1.4198;4.4700;0.2789;-1.1343;-0.2718
0000361044;9.5170;1.7023;4.5370;0.3054;-1.1195;-0.2044
0000361052;9.5792;2.0782;4.8339;0.3168;-1.0892;-0.1326
0000361063;10.0221;2.1620;4.8602;0.2742;-1.0212;-0.0545
0000361071;10.3118;2.0925;4.6855;0.2173;-0.9643;-0.0185
0000361083;10.6997;1.6376;4.5729;0.1230;-0.8434;0.0365
0000361091;10.8529;1.5107;4.3503;0.0826;-0.7561;0.0624
0000361102;10.7404;1.2450;4.1300;0.0600;-0.6568;0.0866
0000361110;10.3262;1.0319;4.3239;0.0505;-0.5814;0.1065
0000361122;9.9288;0.9457;4.4149;0.0368;-0.5076;0.1240
0000361130;9.7013;1.0127;4.6088;0.0278;-0.4600;0.1430
0000361138;9.2560;0.9313;4.7022;0.0306;-0.4447;0.1528
0000361149;9.2632;1.2546;4.7621;0.0079;-0.4337;0.1775
0000361157;9.3374;1.2570;4.7812;-0.0148;-0.4434;0.1873
0000361169;9.0884;1.0989;4.7453;-0.0472;-0.4832;0.1847
0000361177;8.7412;1.0199;4.7190;-0.0494;-0.5021;0.1785
0000361188;8.7628;1.1708;4.7453;-0.0731;-0.5119;0.1704
0000361196;8.7101;1.2857;4.6184;-0.0707;-0.5180;0.1525
0000361204;8.6742;1.3312;4.7692;-0.0819;-0.5061;0.1386
0000361270;9.7300;1.7717;4.7621;-0.1680;-0.4668;0.0755
0000361278;9.6414;1.7933;4.8315;-0.1929;-0.4415;0.0636
0000361289;9.3326;1.2761;4.7190;-0.2290;-0.4028;0.0529
0000361297;9.2680;1.1205;4.7309;-0.2575;-0.3716;0.0414
0000361309;8.9998;0.7183;4.6280;-0.2473;-0.3308;0.0241
0000361317;9.0166;0.7015;4.5873;-0.2300;-0.3016;0.0093
0000361325;9.2440;0.6440;4.4005;-0.2046;-0.2618;-0.0076
0000361336;9.3829;0.6560;4.2784;-0.1723;-0.2018;-0.0111
0000361344;9.6079;0.6656;4.1396;-0.1527;-0.1563;-0.0176
0000361356;9.8138;0.8092;4.0366;-0.1147;-0.0819;-0.0274
0000361364;9.9383;1.0894;3.9002;-0.0782;-0.0338;-0.0400
0000361375;9.9383;1.1444;4.0151;-0.0438;0.0596;-0.0544
0000361383;10.0916;1.4174;4.0869;-0.0148;0.1244;-0.0673
0000361395;9.9359;1.8435;4.1731;0.0012;0.2284;-0.0693
0000361403;9.6343;1.8531;4.2976;-0.0011;0.2842;-0.0596
0000361411;9.7540;2.0327;4.2617;-0.0133;0.3219;-0.0404
0000361422;9.5385;2.0423;4.4101;-0.0520;0.3596;0.0053
0000361430;9.6127;1.9680;4.3431;-0.0622;0.3607;0.0416
0000361442;9.6798;1.6233;4.4508;-0.0771;0.3545;0.1041
0000361450;9.8474;1.7190;4.4460;-0.0786;0.3698;0.1496
0000361462;9.9264;1.7214;4.4987;-0.0624;0.3989;0.2193
0000361470;10.0030;1.5107;4.4843;-0.0698;0.4362;0.2593
0000361478;10.1442;1.3096;4.5825;-0.0663;0.4699;0.2856
0000361544;8.8753;0.7087;4.6424;-0.0778;0.6981;0.3279
