time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0000407534;7.4986;3.1651;1.4940;-0.0063;-0.0284;-0.0218
0000407542;7.6160;3.1651;1.5562;-0.0012;-0.0400;-0.0278
0000407549;7.6303;3.2058;1.4820;-0.0088;-0.0333;-0.0240
0000407557;7.4986;3.0933;1.5131;-0.0056;-0.0364;-0.0288
0000407566;7.6519;3.2274;1.4461;-0.0103;-0.0317;-0.0250
0000407574;7.5178;3.0430;1.4868;-0.0144;-0.0289;-0.0258
0000407586;7.4962;3.2274;1.5060;-0.0143;-0.0273;-0.0260
0000407594;7.6088;3.2729;1.5754;-0.0196;-0.0248;-0.0276
0000407602;7.4316;3.2034;1.4748;-0.0192;-0.0308;-0.0318
0000407613;7.6710;3.2825;1.5251;-0.0240;-0.0289;-0.0314
0000407621;7.4555;3.2106;1.5586;-0.0236;-0.0374;-0.0320
0000407633;7.7381;3.2226;1.4892;-0.0228;-0.0370;-0.0329
0000407641;7.4484;3.2250;1.5419;-0.0294;-0.0270;-0.0300
0000407709;7.5489;3.1220;1.5730;-0.0208;-0.0441;-0.0261
0000407717;7.5393;3.1843;1.5850;-0.0229;-0.0498;-0.0253
0000407729;7.3310;3.0287;1.5251;-0.0261;-0.0494;-0.0221
0000407737;7.5848;3.2082;1.5107;-0.0313;-0.0462;-0.0305
0000407745;7.5274;3.2537;1.5514;-0.0336;-0.0445;-0.0292
0000407756;7.6279;3.3112;1.5754;-0.0348;-0.0405;-0.0308
0000407764;7.3670;3.1747;1.6592;-0.0389;-0.0394;-0.0330
0000407776;7.3478;2.9521;1.5802;-0.0421;-0.0386;-0.0286
0000407784;7.4029;2.9664;1.5921;-0.0289;-0.0548;-0.0348
0000407795;7.3717;2.9616;1.5395;-0.0230;-0.0537;-0.0292
0000407803;7.5489;3.1795;1.5036;-0.0067;-0.0566;-0.0246
0000407815;7.4627;3.0981;1.4629;-0.0065;-0.0548;-0.0205
0000407823;7.6016;3.3232;1.4461;-0.0040;-0.0546;-0.0218
0000407831;7.6495;3.2633;1.4461;-0.0121;-0.0508;-0.0177
0000407842;7.5992;3.2944;1.5227;-0.0213;-0.0462;-0.0181
0000407850;7.5729;3.1627;1.5945;-0.0265;-0.0428;-0.0175
0000407862;7.4962;3.0239;1.5060;-0.0317;-0.0410;-0.0149
0000407870;7.4340;2.9568;1.6328;-0.0297;-0.0460;-0.0171
0000407881;7.5800;3.0837;1.5945;-0.0217;-0.0486;-0.0163
0000407889;7.4508;2.7964;1.6568;-0.0237;-0.0368;-0.0113
0000407901;7.6495;3.0071;1.4940;-0.0137;-0.0381;-0.0187
0000407909;7.5824;3.0287;1.5586;-0.0139;-0.0324;-0.0264
0000407917;7.5130;3.0765;1.5897;-0.0077;-0.0402;-0.0310
0000407984;7.3215;3.0742;1.5251;-0.0164;-0.0278;-0.0144
0000407992;7.5058;3.0933;1.5754;-0.0148;-0.0309;-0.0184
0000408004;7.7165;3.1987;1.6281;-0.0108;-0.0298;-0.0195
0000408012;7.4867;3.1364;1.5179;-0.0165;-0.0270;-0.0196
0000408023;7.4723;3.0502;1.5993;-0.0208;-0.0297;-0.0213
0000408031;7.4555;3.0837;1.6592;-0.0220;-0.0281;-0.0165
0000408043;7.3023;2.9018;1.5993;-0.0188;-0.0304;-0.0228
0000408051;7.6327;3.1915;1.5969;-0.0192;-0.0254;-0.0157
0000408059;7.5441;3.0598;1.5778;-0.0241;-0.0230;-0.0168
0000408070;7.3933;3.0550;1.5371;-0.0177;-0.0269;-0.0171
0000408078;7.3071;3.0861;1.5514;-0.0264;-0.0153;-0.0085
0000408090;7.5513;3.1963;1.5754;-0.0265;-0.0244;-0.0163
0000408098;7.5154;3.2274;1.5395;-0.0285;-0.0185;-0.0093
0000408110;7.4651;3.0813;1.5347;-0.0241;-0.0209;-0.0108
0000408117;7.6902;3.0909;1.5658;-0.0256;-0.0167;-0.0072
0000408129;7.3550;2.9856;1.5467;-0.0244;-0.0157;-0.0060
0000408137;7.5298;3.1412;1.5610;-0.0244;-0.0151;-0.0129
0000408145;7.5130;3.1651;1.5371;-0.0226;-0.0143;-0.0117
0000408156;7.3406;3.0239;1.5155;-0.0211;-0.0129;-0.0105
0000408164;7.4627;3.1220;1.5562;-0.0329;-0.0029;-0.0065
0000408176;7.4986;3.1484;1.5658;-0.0294;-0.0051;-0.0089
0000408184;7.3957;3.0358;1.5658;-0.0237;-0.0144;-0.0092
0000408252;7.3909;3.0430;1.5395;-0.0270;-0.0266;-0.0256
0000408260;7.1323;3.0406;1.5586;-0.0296;-0.0159;-0.0131
0000408272;7.5154;3.1795;1.5778;-0.0193;-0.0220;-0.0135
0000408280;7.3526;3.1077;1.5945;-0.0144;-0.0177;-0.0117
0000408288;7.3765;2.9784;1.5538;-0.0196;-0.0145;-0.0040
0000408299;7.4603;3.0694;1.5778;-0.0207;-0.0193;-0.0048
0000408307;7.6351;3.0047;1.4940;-0.0220;-0.0149;-0.0113
0000408319;7.5872;3.0502;1.5897;-0.0204;-0.0176;-0.0143
0000408327;7.4005;2.9113;1.5395;-0.0125;-0.0179;-0.0215
0000408338;7.5800;2.9305;1.5490;-0.0151;-0.0175;-0.0188
