time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0000066885;6.1004;1.6999;4.7453;-0.0659;0.2200;0.1034
0000066893;6.0238;1.7119;4.7812;-0.0891;0.1937;0.0795
0000066900;5.9903;1.4365;4.7309;-0.0846;0.1635;0.0637
0000066908;5.9951;1.5395;4.7309;-0.0806;0.1404;0.0518
0000066975;6.4572;1.2929;4.1635;0.0861;-0.0164;0.0073
0000066983;6.6822;1.4533;4.1084;0.1002;-0.0025;0.0056
0000066991;6.7181;1.4341;4.2473;0.1055;-0.0003;-0.0017
0000067003;6.7109;1.6376;4.2497;0.0855;0.0207;-0.0056
0000067011;6.6631;1.6712;4.5490;0.0707;0.0177;-0.0141
0000067022;6.6990;1.9321;4.6687;0.0278;0.0193;-0.0189
0000067030;6.5841;1.8555;4.8147;-0.0067;0.0057;-0.0272
0000067042;6.3470;1.7526;4.9488;-0.0433;-0.0185;-0.0458
0000067050;6.3470;1.7526;5.0326;-0.0502;-0.0337;-0.0624
0000067058;6.0549;1.5371;5.0637;-0.0520;-0.0520;-0.0810
0000067069;6.0813;1.3336;5.0973;-0.0398;-0.0886;-0.1079
0000067077;5.7269;1.2115;5.0996;-0.0326;-0.1054;-0.1163
0000067089;5.8826;1.4724;5.0829;0.0044;-0.1541;-0.1407
0000067097;5.9328;1.5227;5.0542;0.0123;-0.1801;-0.1547
0000067108;6.0047;1.5706;5.0781;0.0238;-0.2093;-0.1571
0000067116;5.9017;1.5802;5.0111;0.0309;-0.2198;-0.1504
0000067128;6.2728;1.5419;4.9584;0.0512;-0.2457;-0.1475
0000067136;6.4787;1.5730;4.8267;0.0710;-0.2559;-0.1390
0000067144;6.4811;1.4940;4.6543;0.0830;-0.2537;-0.1356
0000067155;6.8091;1.5347;4.6017;0.1051;-0.2497;-0.1255
0000067163;6.9001;1.6424;4.5633;0.1175;-0.2342;-0.1111
0000067175;6.8067;1.4964;4.3670;0.1347;-0.2173;-0.1039
0000067183;6.8067;1.5060;4.4149;0.1464;-0.2056;-0.1066
0000067250;6.6152;2.1715;4.3383;0.1259;-0.1074;-0.0606
0000067258;6.4931;2.1021;4.4077;0.0974;-0.1022;-0.0516
0000067270;6.2537;2.1955;4.5274;0.0669;-0.0966;-0.0420
0000067278;6.1938;2.1620;4.3958;0.0446;-0.0983;-0.0368
0000067286;6.1962;2.2362;4.4819;0.0306;-0.1062;-0.0310
0000067297;6.2010;2.1787;4.4317;-0.0011;-0.1092;-0.0216
0000067305;6.3877;2.3200;4.4388;-0.0145;-0.1146;-0.0191
0000067317;6.3542;2.1069;4.4604;-0.0304;-0.1190;-0.0221
0000067325;6.5841;2.2529;4.4197;-0.0353;-0.1263;-0.0321
0000067336;6.6439;2.2242;4.3167;-0.0536;-0.1146;-0.0300
0000067344;6.5793;2.1069;4.3311;-0.0699;-0.1156;-0.0397
0000067352;6.6655;2.2075;4.4125;-0.0875;-0.1124;-0.0378
0000067364;6.4931;2.0758;4.4077;-0.1053;-0.1147;-0.0476
0000067372;6.5745;2.1835;4.3814;-0.1226;-0.1126;-0.0469
0000067383;6.5457;2.0423;4.4005;-0.1380;-0.1206;-0.0598
0000067391;6.4117;2.0423;4.5226;-0.1547;-0.1194;-0.0648
0000067403;6.6128;1.9968;4.4628;-0.1600;-0.1292;-0.0723
0000067411;6.4835;1.9297;4.4341;-0.1663;-0.1319;-0.0738
0000067422;6.3542;1.7047;4.3718;-0.1655;-0.1387;-0.0810
0000067430;6.4117;1.8387;4.3024;-0.1660;-0.1320;-0.0759
0000067442;6.4548;1.5706;4.4077;-0.1615;-0.1255;-0.0734
0000067450;6.4452;1.6328;4.3718;-0.1535;-0.1271;-0.0685
0000067458;6.4069;1.3671;4.2760;-0.1390;-0.1215;-0.0610
0000067525;6.3877;1.3862;4.3455;0.0882;-0.1354;-0.0694
0000067533;6.2584;1.3288;4.3215;0.1227;-0.1363;-0.0742
0000067545;6.3949;1.4605;4.3455;0.1613;-0.1271;-0.0726
0000067553;6.4739;1.5347;4.2593;0.1820;-0.1260;-0.0737
0000067564;6.5218;1.7454;4.2952;0.1966;-0.1171;-0.0770
0000067572;6.6104;1.7430;4.3622;0.1943;-0.1079;-0.0762
0000067580;6.6008;1.8316;4.3191;0.2006;-0.1075;-0.0829
0000067592;6.5697;2.2505;4.3383;0.1708;-0.0874;-0.0831
0000067600;6.6008;2.2290;4.3646;0.1420;-0.0786;-0.0861
0000067611;6.4620;2.3080;4.4149;0.0937;-0.0710;-0.0819
0000067619;6.5481;2.2936;4.3503;0.0598;-0.0673;-0.0695
0000067631;6.3518;2.2194;4.3263;0.0314;-0.0710;-0.0628
0000067639;6.2608;2.0087;4.1228;0.0215;-0.0861;-0.0609
0000067650;6.3159;2.0662;4.1084;0.0123;-0.1039;-0.0510
0000067658;6.2393;2.2601;4.0941;0.0020;-0.1104;-0.0458
0000067666;6.1723;2.3463;4.1875;-0.0080;-0.1363;-0.0506
0000067678;6.1172;2.4373;4.0869;-0.0305;-0.1596;-0.0552
0000067686;6.2704;2.4636;4.1827;-0.0440;-0.1775;-0.0634
0000067697;6.0741;2.2242;4.1755;-0.0675;-0.1986;-0.0641
0000067705;6.2153;2.1332;4.2832;-0.0783;-0.2128;-0.0742
0000067717;6.2225;2.0686;4.1922;-0.0849;-0.2317;-0.0823
0000067725;6.1962;1.9968;4.2401;-0.0865;-0.2465;-0.0890
0000067793;6.4835;1.5658;4.3646;0.0120;-0.3215;-0.1745
0000067801;6.4763;1.5658;4.3622;0.0246;-0.3285;-0.1821
0000067809;6.5027;1.4724;4.3742;0.0430;-0.3276;-0.1899
0000067821;6.4260;1.3886;4.4484;0.0634;-0.3243;-0.1925
0000067829;6.4452;1.4126;4.3694;0.0857;-0.3265;-0.1970
0000067840;6.5290;1.5778;4.3670;0.1059;-0.3154;-0.1896
0000067848;6.6870;1.5060;4.3886;0.1282;-0.3106;-0.1896
0000067860;6.8163;1.5993;4.2808;0.1527;-0.2888;-0.1804
0000067868;6.7253;1.5347;4.3383;0.1707;-0.2858;-0.1764
0000067876;6.8043;1.5682;4.3934;0.1892;-0.2723;-0.1735
0000067887;6.7109;1.5778;4.2784;0.2128;-0.2599;-0.1636
0000067895;6.6966;1.6352;4.1922;0.2254;-0.2529;-0.1611
0000067907;6.9264;1.8938;4.1587;0.2442;-0.2457;-0.1569
0000067915;6.6750;1.6879;4.1563;0.2571;-0.2435;-0.1535
0000067926;6.6655;1.8340;4.1276;0.2626;-0.2390;-0.1507
0000067934;6.6391;1.8316;4.0773;0.2589;-0.2354;-0.1339
0000067946;6.7732;2.1572;4.0486;0.2522;-0.2386;-0.1291
0000067954;6.6008;2.1979;3.9983;0.2394;-0.2313;-0.1154
0000067962;6.5505;2.3990;4.0366;0.2205;-0.2418;-0.1106
0000067973;6.4763;2.6121;4.1851;0.1931;-0.2434;-0.1009
0000067981;6.4141;2.5953;4.0414;0.1629;-0.2470;-0.0894
0000067993;6.5505;2.9880;4.1324;0.1106;-0.2502;-0.0769
0000068001;6.5146;2.9449;4.1252;0.0698;-0.2563;-0.0650
0000068068;6.6726;1.4988;3.9935;0.0057;-0.2793;-0.0714
0000068076;6.6391;1.4126;3.9289;0.0274;-0.2703;-0.0739
0000068084;6.4787;1.4269;3.9145;0.0522;-0.2706;-0.0857
0000068096;6.7157;1.5323;3.9600;0.0790;-0.2551;-0.0877
0000068104;6.4141;1.5299;4.0127;0.1027;-0.2509;-0.0953
0000068115;6.5505;1.6759;3.9456;0.1186;-0.2390;-0.0955
0000068123;6.5410;1.7573;3.9385;0.1222;-0.2261;-0.0913
0000068135;6.4955;1.8340;4.0845;0.1212;-0.2209;-0.0909
0000068143;6.6942;2.1739;4.0175;0.1110;-0.2118;-0.0835
0000068154;6.4691;2.0542;4.0677;0.1100;-0.2133;-0.0853
0000068162;6.5457;1.9704;4.1348;0.1030;-0.2014;-0.0854
0000068170;6.5457;2.1213;4.0414;0.0983;-0.1990;-0.0899
0000068182;6.4979;2.3798;4.0127;0.0803;-0.1923;-0.0987
0000068190;6.6104;2.3415;4.0414;0.0739;-0.2000;-0.1077
0000068201;6.4476;2.4062;4.0270;0.0473;-0.1947;-0.1148
0000068209;6.3853;2.4349;4.0247;0.0326;-0.1965;-0.1116
0000068221;6.3375;2.3463;4.0294;0.0173;-0.2014;-0.1187
0000068229;6.3111;2.2817;4.0127;0.0052;-0.2041;-0.1231
0000068237;6.2920;2.3559;3.9792;-0.0083;-0.2002;-0.1272
0000068248;6.4189;2.3535;3.9385;-0.0250;-0.2004;-0.1306
0000068256;6.4667;2.2913;3.9025;-0.0396;-0.1974;-0.1290
0000068268;6.5769;2.2003;3.9433;-0.0437;-0.1920;-0.1311
0000068276;6.6056;2.1213;3.8690;-0.0464;-0.1875;-0.1336
0000068343;6.5481;2.0758;3.8259;-0.0368;-0.1186;-0.0829
0000068351;6.6966;2.1261;3.8642;-0.0452;-0.1136;-0.0794
0000068362;6.5553;2.1404;3.9624;-0.0550;-0.1083;-0.0791
0000068370;6.5936;2.1931;3.9863;-0.0697;-0.0961;-0.0719
0000068378;6.5050;2.1572;3.9816;-0.0783;-0.0921;-0.0794
0000068390;6.5386;2.1883;4.0845;-0.1009;-0.0810;-0.0729
0000068398;6.5434;2.3272;4.0749;-0.1216;-0.0730;-0.0775
0000068409;6.5625;2.3607;4.1803;-0.1371;-0.0608;-0.0766
0000068417;6.3231;2.2721;4.2042;-0.1536;-0.0529;-0.0754
0000068429;6.4859;2.3703;4.0510;-0.1739;-0.0484;-0.0785
0000068437;6.3590;2.3463;4.1492;-0.1933;-0.0432;-0.0746
0000068448;6.3470;2.2697;4.1611;-0.2026;-0.0482;-0.0762
0000068456;6.3662;2.1189;4.2042;-0.2045;-0.0473;-0.0774
0000068464;6.5194;2.0399;4.2401;-0.2117;-0.0438;-0.0645
0000068476;6.3710;2.1380;4.2784;-0.2172;-0.0425;-0.0550
0000068484;6.4380;2.1045;4.1827;-0.2266;-0.0414;-0.0518
0000068495;6.3734;1.9010;4.2521;-0.2266;-0.0384;-0.0505
0000068503;6.1579;1.8723;4.2401;-0.2248;-0.0377;-0.0424
0000068515;6.3470;1.8220;4.2784;-0.2189;-0.0400;-0.0414
0000068523;6.2537;1.6592;4.2329;-0.2052;-0.0454;-0.0417
0000068535;6.4500;1.8340;4.1827;-0.1994;-0.0426;-0.0292
0000068543;6.6272;1.9130;4.2569;-0.1948;-0.0526;-0.0316
0000068551;6.4284;1.8100;4.2234;-0.1853;-0.0581;-0.0336
0000068619;6.4572;1.6376;4.1851;-0.1514;-0.0409;-0.0195
0000068627;6.6056;1.8028;4.2521;-0.1470;-0.0369;-0.0104
0000068638;6.6152;1.6735;4.3024;-0.1203;-0.0442;-0.0053
0000068646;6.6056;1.8292;4.2569;-0.1088;-0.0429;0.0000
0000068658;6.5386;1.8148;4.3048;-0.0918;-0.0437;0.0033
0000068666;6.5960;1.8890;4.3527;-0.0806;-0.0454;0.0077
0000068677;6.4284;1.8651;4.2880;-0.0815;-0.0410;0.0120
0000068685;6.4476;2.0949;4.3000;-0.0785;-0.0388;0.0129
0000068693;6.4907;2.1691;4.3455;-0.0830;-0.0398;0.0144
0000068705;6.3686;2.1404;4.4604;-0.1096;-0.0444;0.0195
0000068713;6.4452;2.1069;4.5442;-0.1214;-0.0469;0.0258
0000068724;6.3183;1.9537;4.4963;-0.1224;-0.0613;0.0203
0000068732;6.4284;1.9297;4.3455;-0.1240;-0.0634;0.0201
0000068744;6.3758;1.7741;4.3934;-0.1230;-0.0715;0.0068
0000068752;6.4596;1.8364;4.2784;-0.1171;-0.0785;-0.0004
0000068763;6.2824;1.7071;4.3072;-0.1132;-0.0853;-0.0108
0000068771;6.2369;1.6328;4.3000;-0.1124;-0.0815;-0.0149
0000068779;6.1746;1.7406;4.3024;-0.1094;-0.0922;-0.0245
0000068791;6.1866;1.7526;4.3479;-0.1126;-0.0922;-0.0293
0000068799;6.2752;1.8459;4.3431;-0.1120;-0.0963;-0.0341
0000068811;6.2560;1.7861;4.3766;-0.1066;-0.1043;-0.0324
0000068819;6.2872;1.8124;4.4149;-0.1002;-0.1226;-0.0336
0000068887;6.2872;1.7454;4.4077;-0.1066;-0.2138;-0.0461
0000068895;6.2345;1.7765;4.4053;-0.1041;-0.2258;-0.0473
0000068906;6.2704;1.7454;4.4987;-0.0987;-0.2374;-0.0594
0000068914;6.2321;1.6352;4.5394;-0.0963;-0.2370;-0.0625
0000068922;6.5074;1.7119;4.4604;-0.0949;-0.2382;-0.0683
0000068934;6.6056;1.8244;4.5203;-0.0890;-0.2407;-0.0778
0000068942;6.4380;1.7597;4.4963;-0.0847;-0.2398;-0.0785
0000068953;6.4620;1.7071;4.5705;-0.0751;-0.2425;-0.0890
0000068961;6.6008;1.8627;4.4891;-0.0767;-0.2433;-0.0902
0000068973;6.5434;1.7837;4.5179;-0.0793;-0.2398;-0.0831
0000068981;6.5098;1.6712;4.5490;-0.0843;-0.2352;-0.0777
0000068992;6.4931;1.7071;4.4676;-0.0881;-0.2426;-0.0797
0000069000;6.7924;1.9537;4.4245;-0.0966;-0.2312;-0.0698
0000069008;6.6463;1.8004;4.4484;-0.0965;-0.2252;-0.0666
0000069020;6.7804;1.5921;4.4532;-0.0918;-0.2050;-0.0465
0000069028;6.7780;1.7382;4.4005;-0.0821;-0.2016;-0.0445
0000069039;6.7732;1.5275;4.4484;-0.0652;-0.1852;-0.0365
0000069047;6.8953;1.4964;4.4891;-0.0505;-0.1736;-0.0285
0000069059;6.8331;1.5203;4.4005;-0.0370;-0.1498;-0.0180
0000069067;6.8857;1.6281;4.3000;-0.0377;-0.1299;-0.0119
0000069079;6.9216;1.6855;4.4269;-0.0306;-0.1067;-0.0124
0000069087;6.7397;1.5730;4.4628;-0.0208;-0.0862;-0.0155
0000069095;6.7636;1.5467;4.5083;-0.0156;-0.0726;-0.0027
0000069163;6.4667;1.5586;4.6017;0.0241;-0.0290;0.0089
0000069171;6.5027;1.7693;4.4460;0.0148;-0.0324;0.0035
0000069182;6.4548;1.8340;4.5610;0.0072;-0.0397;-0.0027
0000069190;6.3877;1.7669;4.6160;0.0056;-0.0466;-0.0129
0000069202;6.4931;2.0782;4.5897;-0.0044;-0.0521;-0.0120
0000069210;6.3231;1.8723;4.6112;-0.0024;-0.0682;-0.0254
0000069221;6.4308;1.9776;4.5729;-0.0057;-0.0791;-0.0356
0000069229;6.4955;1.9441;4.5921;-0.0087;-0.0889;-0.0405
0000069237;6.3063;1.7717;4.6088;-0.0157;-0.0933;-0.0516
0000069249;6.5314;1.9273;4.6831;-0.0229;-0.1034;-0.0606
