time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0000254211;6.0908;3.2489;1.7262;-0.0967;0.2073;-0.0372
0000254219;6.4787;3.5578;1.5874;-0.0961;0.2138;-0.0424
0000254226;6.2465;3.5123;1.5036;-0.0985;0.2196;-0.0456
0000254234;6.2489;3.4884;1.4916;-0.0943;0.2312;-0.0404
0000254243;6.1770;3.4524;1.5467;-0.0870;0.2489;-0.0342
0000254251;6.0741;3.3902;1.5083;-0.0678;0.2380;-0.0334
0000254259;6.0047;3.2489;1.4341;-0.0641;0.2414;-0.0288
0000254271;5.8035;3.2537;1.5754;-0.0464;0.2112;-0.0228
0000254279;5.8179;3.2609;1.6233;-0.0520;0.1897;-0.0148
0000254290;6.0286;3.3782;1.5610;-0.0462;0.1519;-0.0173
0000254298;6.0837;3.3782;1.6185;-0.0473;0.1314;-0.0212
0000254310;5.9855;3.2034;1.5802;-0.0518;0.1091;-0.0281
0000254318;6.1124;3.2848;1.6352;-0.0490;0.0934;-0.0390
0000254381;6.1890;3.3255;1.1636;-0.0188;0.0675;-0.0294
0000254389;6.0501;3.2801;1.0199;-0.0112;0.1059;-0.0128
0000254397;6.3351;3.7206;1.0415;-0.0222;0.1383;0.0052
0000254409;6.1387;3.3567;1.2737;-0.0667;0.1663;0.0301
0000254417;6.0932;3.0574;1.3216;-0.0705;0.1712;0.0366
0000254428;6.2249;2.8204;1.4820;-0.0568;0.1675;0.0569
0000254436;6.2752;2.7270;1.5921;-0.0405;0.1620;0.0669
0000254448;6.2848;2.7869;1.5371;-0.0270;0.1700;0.0750
0000254456;6.2321;2.9066;1.6472;-0.0228;0.1832;0.0671
0000254464;6.3638;3.0406;1.5969;-0.0284;0.2066;0.0659
0000254475;6.6056;3.2441;1.7382;-0.0188;0.2377;0.0468
0000254483;6.8235;3.4141;1.7645;-0.0197;0.2703;0.0388
0000254495;6.7014;3.5362;1.7789;-0.0011;0.3031;0.0298
0000254503;6.4739;3.6057;1.8124;-0.0023;0.3176;0.0097
0000254514;6.3710;3.6320;1.8244;0.0029;0.3251;-0.0112
0000254522;5.8897;3.4285;1.9201;0.0036;0.3317;-0.0260
0000254530;5.5210;3.2944;1.8890;0.0067;0.3244;-0.0489
0000254542;5.5881;3.3734;1.8771;0.0164;0.2930;-0.1002
0000254550;5.4564;3.1340;1.9297;0.0147;0.2693;-0.1200
