time;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
0000412300;5.9089;-16.0842;0.4764;0.0927;-0.2485;-0.0244
0000412308;5.6551;-16.2782;0.6249;0.0913;-0.2590;-0.0348
0000412315;5.8897;-16.2207;0.6464;0.0985;-0.2665;-0.0456
0000412323;5.8538;-16.2686;0.6823;0.1055;-0.2593;-0.0497
0000412332;6.0358;-16.1513;0.6919;0.1164;-0.2575;-0.0625
0000412340;6.1627;-15.9621;0.7207;0.1099;-0.2429;-0.0637
0000412352;6.4021;-15.7467;0.7254;0.0905;-0.2169;-0.0726
0000412360;6.1555;-15.9406;0.7039;0.0814;-0.2100;-0.0753
0000412368;6.5027;-15.8257;0.7374;0.0576;-0.1899;-0.0714
0000412379;6.6152;-15.6820;0.6967;0.0316;-0.1712;-0.0714
0000412387;6.4332;-15.9645;0.7709;0.0135;-0.1495;-0.0653
0000412455;5.9640;-16.3309;0.8045;0.0095;-0.0715;-0.0564
0000412463;6.1770;-16.2447;0.7997;0.0265;-0.0715;-0.0573
0000412474;6.1746;-16.2518;0.8164;0.0545;-0.0662;-0.0521
0000412482;6.2417;-16.1968;0.9313;0.0616;-0.0493;-0.0418
0000412494;6.0837;-16.2542;0.9457;0.0718;-0.0266;-0.0333
0000412502;6.4452;-16.0866;1.0726;0.0659;-0.0127;-0.0309
0000412513;6.1723;-16.0340;1.0989;0.0530;0.0088;-0.0328
0000412521;6.0861;-15.9813;1.1468;0.0448;0.0107;-0.0404
0000412529;6.2273;-15.9286;1.2091;0.0397;0.0171;-0.0440
0000412541;6.3351;-15.8329;1.2067;0.0159;0.0212;-0.0341
0000412549;6.2944;-15.9837;1.1947;0.0024;0.0139;-0.0350
0000412560;6.2513;-15.9717;1.1899;-0.0274;0.0209;-0.0149
0000412568;6.2201;-15.9286;1.0487;-0.0508;0.0222;-0.0115
0000412580;6.2560;-15.9310;0.9888;-0.0636;0.0277;-0.0063
0000412588;6.0454;-16.0962;1.0247;-0.0726;0.0318;-0.0036
0000412599;5.8897;-16.2590;0.8859;-0.0671;0.0293;-0.0116
0000412607;5.9783;-16.2806;0.8452;-0.0564;0.0145;-0.0143
0000412619;5.8945;-16.3380;0.8164;-0.0385;-0.0065;-0.0164
0000412627;5.7078;-16.4721;0.6776;-0.0163;-0.0276;-0.0225
0000412635;5.9424;-16.3739;0.6895;-0.0059;-0.0389;-0.0189
0000412646;5.7844;-16.4410;0.6321;-0.0029;-0.0472;-0.0168
0000412654;5.8538;-16.4482;0.5267;0.0035;-0.0520;-0.0179
0000412722;5.9783;-15.8233;0.8380;0.0115;-0.0814;-0.0163
0000412730;5.9544;-15.8712;0.7877;0.0023;-0.0826;-0.0200
0000412741;6.1172;-15.8233;0.7805;0.0036;-0.0839;-0.0290
0000412749;6.3111;-15.9597;0.7135;-0.0019;-0.0759;-0.0349
0000412761;6.2106;-16.2111;0.7518;-0.0108;-0.0649;-0.0284
0000412769;6.1363;-16.2040;0.8763;-0.0133;-0.0540;-0.0185
0000412780;6.2872;-16.2614;0.8452;-0.0173;-0.0313;-0.0119
0000412788;6.2608;-16.2279;0.9002;-0.0188;-0.0257;-0.0135
0000412796;6.1914;-16.3787;0.9337;-0.0245;-0.0100;-0.0143
0000412808;6.2800;-16.2279;0.9170;-0.0252;0.0056;-0.0123
0000412816;6.2513;-16.3380;0.9720;-0.0298;0.0248;-0.0143
0000412827;6.1723;-16.1776;0.8978;-0.0261;0.0360;-0.0211
0000412835;6.2489;-16.1609;1.0271;-0.0288;0.0434;-0.0241
0000412847;6.1699;-16.1154;0.9457;-0.0333;0.0560;-0.0176
0000412855;6.1651;-16.0699;0.9768;-0.0390;0.0562;-0.0157
0000412866;6.1675;-15.9526;0.8116;-0.0477;0.0602;-0.0109
0000412874;6.1028;-15.9741;0.8571;-0.0530;0.0644;-0.0088
0000412886;6.0286;-16.0124;0.9074;-0.0572;0.0513;-0.0129
0000412894;5.8131;-16.0842;0.8906;-0.0508;0.0454;-0.0165
0000412902;5.7964;-16.1872;0.8643;-0.0484;0.0396;-0.0197
0000412914;6.0813;-16.1561;0.9409;-0.0572;0.0313;-0.0125
0000412922;5.9927;-16.2087;0.8954;-0.0637;0.0397;-0.0012
0000412990;5.9664;-16.0747;0.9098;-0.0374;0.0409;0.0004
0000412998;5.9664;-16.1226;1.1325;-0.0372;0.0356;-0.0024
0000413009;5.8730;-16.1585;1.0534;-0.0476;0.0400;0.0112
0000413017;5.9089;-16.0483;1.0582;-0.0466;0.0292;0.0173
0000413029;5.9400;-15.9382;0.9625;-0.0561;0.0349;0.0229
0000413037;5.8802;-16.1345;1.0032;-0.0594;0.0265;0.0201
